prompt,gt,task
Translate this chemical IUPAC name into SMILES format: N-[2-[2-[(propan-2-ylamino)methyl]-1-benzofuran-6-yl]pyrimidin-4-yl]-1H-indazol-5-amine,CC(C)NCC1=CC2=C(O1)C=C(C=C2)C3=NC=CC(=N3)NC4=CC5=C(C=C4)NN=C5,iupac2smiles
"From the SMILES CCCCCNC(=S)NNC(=O)C1=CC2=C(C=C1)C(=O)N(C2=O)C3=CC=CC=C3C, generate the corresponding IUPAC name.","1-[[2-(2-methylphenyl)-1,3-dioxoisoindole-5-carbonyl]amino]-3-pentylthiourea",smiles2iupac
Translate this SMILES notation into an IUPAC chemical name: COC(=O)N1CCCN(CC1)C(=O)C(CCSC)NC(=O)C2=CC=CC=C2Cl,"methyl 4-[(2R)-2-[(2-chlorobenzoyl)amino]-4-methylsulfanylbutanoyl]-1,4-diazepane-1-carboxylate",smiles2iupac
Translate this chemical IUPAC name into SMILES format: 2-fluoro-N-(6-methylcyclohex-2-en-1-yl)pyridine-4-carboxamide,CC1CCC=CC1NC(=O)C2=CC(=NC=C2)F,iupac2smiles
Translate this chemical IUPAC name into SMILES format: N-[[3-(3-methylbutylsulfanyl)phenyl]methyl]propan-2-amine,CC(C)CCSC1=CC=CC(=C1)CNC(C)C,iupac2smiles
"Find the SMILES encoding for the molecule with IUPAC name: N-(2,5-dibromo-4-chlorophenyl)benzamide",C1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2Br)Cl)Br,iupac2smiles
What is the IUPAC name for the molecule with SMILES: CC(=C[Si](C)(C)C)C(=C[Si](C)(C)C#CC1=CC=CC=C1)C2=CC=CC=C2?,"dimethyl-[(1E,3E)-3-methyl-2-phenyl-4-trimethylsilylbuta-1,3-dienyl]-(2-phenylethynyl)silane",smiles2iupac
"What is the SMILES string for the compound named pentabutyl 3-ethylnonane-1,2,4,5,8-pentacarboxylate?",CCCCOC(=O)CC(C(CC)C(C(CCC(C)C(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,iupac2smiles
"Find the SMILES encoding for the molecule with IUPAC name: (2-pyridin-4-ylpyrrolidin-1-yl)-[4-(1,2,4-triazol-1-yl)phenyl]methanone",C1CC(N(C1)C(=O)C2=CC=C(C=C2)N3C=NC=N3)C4=CC=NC=C4,iupac2smiles
"Given the IUPAC name 1-[2-(4-bromophenoxy)ethyl]-3-(thiophen-3-ylmethyl)urea, return its SMILES notation.",C1=CC(=CC=C1OCCNC(=O)NCC2=CSC=C2)Br,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: (E)-1-[4-(2,3-dihydro-1-benzofuran-5-ylmethyl)piperazin-1-yl]-3-(2-methyl-1,3-thiazol-4-yl)prop-2-en-1-one",CC1=NC(=CS1)C=CC(=O)N2CCN(CC2)CC3=CC4=C(C=C3)OCC4,iupac2smiles
"Can you provide the SMILES representation of N-[(4-methyl-1,3-thiazol-2-yl)methyl]-7-oxabicyclo[2.2.1]heptan-2-amine?",CC1=CSC(=N1)CNC2CC3CCC2O3,iupac2smiles
What is the SMILES string for the compound named 1-[(5R)-1-azabicyclo[3.2.1]oct-3-en-3-yl]ethanone?,CC(=O)C1=CC2CCN(C2)C1,iupac2smiles
Please output the SMILES structure that matches this IUPAC name: 1-[4-(2-chlorophenyl)sulfonylpiperazin-1-yl]-2-[cyclopropyl(furan-2-ylmethyl)amino]ethanone,C1CC1N(CC2=CC=CO2)CC(=O)N3CCN(CC3)S(=O)(=O)C4=CC=CC=C4Cl,iupac2smiles
"I have the IUPAC name 5-(2-fluorophenyl)-N,N-dimethyl-4,5,6,7-tetrahydro-2,1-benzoxazol-3-amine. What's the equivalent SMILES string?",CN(C)C1=C2CC(CCC2=NO1)C3=CC=CC=C3F,iupac2smiles
"I have the IUPAC name 9,10-bis(4-ethoxyphenyl)phenanthrene-9,10-diol. What's the equivalent SMILES string?",CCOC1=CC=C(C=C1)C2(C3=CC=CC=C3C4=CC=CC=C4C2(C5=CC=C(C=C5)OCC)O)O,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: 4-quinolin-5-yloxypentanoic acid,CC(CCC(=O)O)OC1=CC=CC2=C1C=CC=N2,iupac2smiles
"Can you provide the SMILES representation of 4-methyl-2-(methylaminomethyl)-N-[(2,2,3,3-tetramethylcyclopropyl)methyl]thiophene-3-sulfonamide?",CC1=CSC(=C1S(=O)(=O)NCC2C(C2(C)C)(C)C)CNC,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: methyl (E)-3-[4-[2-[[(1R,2S,3S)-2,3-dimethylcyclohexyl]carbamoylamino]-2-oxoethoxy]-3-methoxyphenyl]prop-2-enoate",CC1CCCC(C1C)NC(=O)NC(=O)COC2=C(C=C(C=C2)C=CC(=O)OC)OC,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: N-(1-ethylsulfonylpiperidin-4-yl)-5,6,7,8,9,10-hexahydrocyclohepta[b]indole-4-carboxamide",CCS(=O)(=O)N1CCC(CC1)NC(=O)C2=CC=CC3=C2NC4=C3CCCCC4,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 2-hydrazinyl-N-methyl-N-(1H-1,2,4-triazol-5-ylmethyl)pyridine-4-sulfonamide",CN(CC1=NC=NN1)S(=O)(=O)C2=CC(=NC=C2)NN,iupac2smiles
Find the SMILES encoding for the molecule with IUPAC name: 1-(4-chlorophenyl)sulfonyl-N-[4-(4-methylpiperazin-1-yl)sulfonylphenyl]piperidine-3-carboxamide,CN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3CCCN(C3)S(=O)(=O)C4=CC=C(C=C4)Cl,iupac2smiles
"Can you provide the SMILES representation of N-(1-amino-2-methylpropan-2-yl)-3-[3-(3-fluoro-4-methylphenyl)-1,2,4-oxadiazol-5-yl]propanamide;hydrochloride?",CC1=C(C=C(C=C1)C2=NOC(=N2)CCC(=O)NC(C)(C)CN)F.Cl,iupac2smiles
I have the SMILES CC1=CC=C(O1)C(=O)OCC2=CC3=CC=CC=C3O2. What's the equivalent IUPAC name?,1-benzofuran-2-ylmethyl 5-methylfuran-2-carboxylate,smiles2iupac
"Find the SMILES encoding for the molecule with IUPAC name: 2,4-ditert-butyl-6-[4-[3-tert-butyl-5-[4-[4-(2-deuteriopropan-2-yl)phenyl]pyridin-2-yl]phenyl]-1-[2-(4-tert-butylphenyl)-5-phenyl-4-(trideuteriomethyl)phenyl]benzimidazol-2-yl]phenol",CC1=CC(=C(C=C1C2=CC=CC=C2)N3C4=CC=CC(=C4N=C3C5=C(C(=CC(=C5)C(C)(C)C)C(C)(C)C)O)C6=CC(=CC(=C6)C(C)(C)C)C7=NC=CC(=C7)C8=CC=C(C=C8)C(C)C)C9=CC=C(C=C9)C(C)(C)C,iupac2smiles
"Given the IUPAC name 5-prop-2-ynoxy-2-benzofuran-1,3-dione, return its SMILES notation.",C#CCOC1=CC2=C(C=C1)C(=O)OC2=O,iupac2smiles
"What is the SMILES string for the compound named 7-amino-3,5-diethyl-4-(trifluoromethyl)chromen-2-one?",CCC1=C2C(=CC(=C1)N)OC(=O)C(=C2C(F)(F)F)CC,iupac2smiles
I have the IUPAC name (3R)-1-(3-bromo-5-methylbenzoyl)-3-hydroxypiperidine-3-carboxamide. What's the equivalent SMILES string?,CC1=CC(=CC(=C1)Br)C(=O)N2CCCC(C2)(C(=O)N)O,iupac2smiles
Please output the SMILES structure that matches this IUPAC name: 5-(dimethylamino)-3-methyl-1-pyridin-2-ylpyrazole-4-carbaldehyde,CC1=NN(C(=C1C=O)N(C)C)C2=CC=CC=N2,iupac2smiles
"I have the IUPAC name 3-iodo-1-[[4-(oxan-4-ylmethoxy)pyrrolo[2,1-f][1,2,4]triazin-2-yl]methyl]pyrazolo[3,4-d]pyrimidin-4-amine. What's the equivalent SMILES string?",C1COCCC1COC2=NC(=NN3C2=CC=C3)CN4C5=NC=NC(=C5C(=N4)I)N,iupac2smiles
"Find the SMILES encoding for the molecule with IUPAC name: (2S)-N-[2-[(2R,6R)-2,6-dimethylmorpholin-4-yl]sulfonylethyl]-1-(thiophene-2-carbonyl)pyrrolidine-2-carboxamide",CC1CN(CC(O1)C)S(=O)(=O)CCNC(=O)C2CCCN2C(=O)C3=CC=CS3,iupac2smiles
"I have the IUPAC name 4-methyl-2-piperidin-1-yl-N-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-5-carboxamide. What's the equivalent SMILES string?",CC1=NC(=NC=C1C(=O)NCC2=CC(=C(C(=C2)OC)OC)OC)N3CCCCC3,iupac2smiles
I have the SMILES CCC1CC1C(C2=NN(N=C2)C)O. What's the equivalent IUPAC name?,(2-ethylcyclopropyl)-(2-methyltriazol-4-yl)methanol,smiles2iupac
"Translate this chemical IUPAC name into SMILES format: N-(3,3-dimethylhex-5-enyl)-3-[3-(oxolan-2-yl)pyrrolidin-1-yl]sulfonylpyridin-4-amine",CC(C)(CCNC1=C(C=NC=C1)S(=O)(=O)N2CCC(C2)C3CCCO3)CC=C,iupac2smiles
Please output the SMILES structure that matches this IUPAC name: N-[4-(2-cyanopyrrol-1-yl)-1-(4-methylpiperidin-1-yl)-1-oxobutan-2-yl]-2-(trifluoromethyl)benzenesulfonamide,CC1CCN(CC1)C(=O)C(CCN2C=CC=C2C#N)NS(=O)(=O)C3=CC=CC=C3C(F)(F)F,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: 3-(9,9-diphenylfluoren-3-yl)-9-[(1-methyl-9H-fluoren-9-yl)methyl]carbazole;(2Z,4Z)-hepta-2,4-diene;(3Z,5Z)-hepta-1,3,5-triene",CCC=CC=CC.CC=CC=CC=C.CC1=C2C(C3=CC=CC=C3C2=CC=C1)CN4C5=C(C=C(C=C5)C6=CC7=C(C=C6)C(C8=CC=CC=C87)(C9=CC=CC=C9)C1=CC=CC=C1)C1=CC=CC=C14,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: [2-oxo-2-[4-(2-oxopyrrolidin-1-yl)phenyl]ethyl] 2-methyl-4-phenyl-1,3-thiazole-5-carboxylate",CC1=NC(=C(S1)C(=O)OCC(=O)C2=CC=C(C=C2)N3CCCC3=O)C4=CC=CC=C4,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 4-[tert-butyl(dimethyl)silyl]oxy-2,6-dimethoxybenzaldehyde",CC(C)(C)[Si](C)(C)OC1=CC(=C(C(=C1)OC)C=O)OC,iupac2smiles
I have the SMILES C[NH+]1C(=CC(C(=C1COC)O)O)COC. What's the equivalent IUPAC name?,"2,6-bis(methoxymethyl)-1-methyl-1,4-dihydropyridin-1-ium-3,4-diol",smiles2iupac
"Given the SMILES CC(C)(C)C1=CC=C(C=C1)NC(=O)CCCSC2=CC=C(C=C2)Cl, return its official IUPAC name.",N-(4-tert-butylphenyl)-4-(4-chlorophenyl)sulfanylbutanamide,smiles2iupac
"Convert the following IUPAC name to its SMILES representation: 1-(1-cyclopentyl-2,2,2-trifluoroethyl)-3-[(1-pyridin-4-ylpiperidin-4-yl)methyl]urea",C1CCC(C1)C(C(F)(F)F)NC(=O)NCC2CCN(CC2)C3=CC=NC=C3,iupac2smiles
Convert the following SMILES string into its IUPAC name: C1=C(SC(=C1)S(=O)(=O)NC2=CC(=C(C=C2Cl)Cl)Cl)CN,"5-(aminomethyl)-N-(2,4,5-trichlorophenyl)thiophene-2-sulfonamide",smiles2iupac
Please output the IUPAC chemical name that matches this SMILES: CC1CC2C(C1(C)CC=O)CCCC2OCOC,"2-[4-(methoxymethoxy)-1,2-dimethyl-2,3,3a,4,5,6,7,7a-octahydroinden-1-yl]acetaldehyde",smiles2iupac
"I have the IUPAC name [4-[1-[4-(2,3,3a,4,5,6,7,7a-octahydro-1,3-benzothiazol-6-yl)cyclohexyl]ethenyl]piperazin-1-yl]-(1-hydroxycyclopropyl)methanone. What's the equivalent SMILES string?",C=C(C1CCC(CC1)C2CCC3C(C2)SCN3)N4CCN(CC4)C(=O)C5(CC5)O,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: 4-(2-phenylanilino)-2,1,3-benzoxadiazole-7-carboxylate",C1=CC=C(C=C1)C2=CC=CC=C2NC3=CC=C(C4=NON=C34)C(=O)[O-],iupac2smiles
Can you provide the IUPAC nomenclature for the compound CCNC(=NCC1=CC=CC=C1F)NCC2CC3=CC=CC=C23.I?,"1-(7-bicyclo[4.2.0]octa-1,3,5-trienylmethyl)-3-ethyl-2-[(2-fluorophenyl)methyl]guanidine;hydroiodide",smiles2iupac
"Generate the canonical SMILES corresponding to the IUPAC name: 9-fluoro-1,4,4,7-tetramethyl-8-(1-methylsulfonylindol-4-yl)-5H-[1,2,4]triazolo[4,3-a]quinoxaline",CC1=CC2=C(C(=C1C3=C4C=CN(C4=CC=C3)S(=O)(=O)C)F)N5C(=NN=C5C(N2)(C)C)C,iupac2smiles
Find the SMILES encoding for the molecule with IUPAC name: 4-bromo-N-ethyl-N-[2-(ethylamino)-2-oxoethyl]-2-methoxybenzamide,CCNC(=O)CN(CC)C(=O)C1=C(C=C(C=C1)Br)OC,iupac2smiles
"Given the IUPAC name (5S)-5-(2-methylpropyl)-3-[(1S)-1-phenylethyl]imidazolidine-2,4-dione, return its SMILES notation.",CC(C)CC1C(=O)N(C(=O)N1)C(C)C2=CC=CC=C2,iupac2smiles
"Can you provide the SMILES representation of (1S,5S)-5-ethyl-1,3,3-trimethylcyclohexan-1-amine;hydrate;hydrochloride?",CCC1CC(CC(C1)(C)N)(C)C.O.Cl,iupac2smiles
"Given the SMILES CCCN(C)CC1CCSS1.C(=O)(C(=O)O)O, return its official IUPAC name.",N-(dithiolan-3-ylmethyl)-N-methylpropan-1-amine;oxalic acid,smiles2iupac
Find the systematic IUPAC name of the molecule represented by CC(C(=O)C1(C(=O)N(C2=CC=CC=C2C(=N1)C3=CC=CC=C3)C)N)NC(=O)CCCC4CCCCC4.,"N-[1-(3-amino-1-methyl-2-oxo-5-phenyl-1,4-benzodiazepin-3-yl)-1-oxopropan-2-yl]-4-cyclohexylbutanamide",smiles2iupac
"Find the SMILES encoding for the molecule with IUPAC name: (2S)-N-(4-tert-butyl-1,3-thiazol-2-yl)-1-[5-(trifluoromethyl)pyridin-2-yl]pyrrolidine-2-carboxamide",CC(C)(C)C1=CSC(=N1)NC(=O)C2CCCN2C3=NC=C(C=C3)C(F)(F)F,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: (2S)-6-amino-N-[(2S,3R)-1-[[(2R)-1-amino-1-oxo-3-sulfanylpropan-2-yl]-[(3R)-1,3-dihydroxybutan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2R)-2-amino-3-phenylpropanoyl]amino]-3-sulfanylpropanoyl]amino]-3-phenylpropanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]hexanamide",CC(C(CO)N(C(CS)C(=O)N)C(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CS)NC(=O)C(CC4=CC=CC=C4)N)O,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 5,7-dichloro-6-(4-chlorophenyl)sulfanyl-1,3-benzothiazol-2-amine",C1=CC(=CC=C1SC2=C(C=C3C(=C2Cl)SC(=N3)N)Cl)Cl,iupac2smiles
"Given the IUPAC name [5-(azanidylidenemethyl)-2-(piperazin-1-ylmethyl)-1,3-benzothiazol-4-yl]-methylazanide;propane;yttrium, return its SMILES notation.",CCC.C[N-]C1=C(C=CC2=C1N=C(S2)CN3CCNCC3)C=[N-].[Y],iupac2smiles
Can you provide the SMILES representation of N-benzyl-5-[[tert-butyl-[(4-methylphenyl)methyl]amino]methyl]furan-2-carboxamide?,CC1=CC=C(C=C1)CN(CC2=CC=C(O2)C(=O)NCC3=CC=CC=C3)C(C)(C)C,iupac2smiles
Can you provide the SMILES representation of N-[(4-butoxyphenyl)methylideneamino]pyridine-3-carboxamide?,CCCCOC1=CC=C(C=C1)C=NNC(=O)C2=CN=CC=C2,iupac2smiles
Please output the IUPAC chemical name that matches this SMILES: COC1=C(C(=CN=C1CCl)CC(=O)OC)C(F)F,methyl 2-[6-(chloromethyl)-4-(difluoromethyl)-5-methoxypyridin-3-yl]acetate,smiles2iupac
"Translate this chemical IUPAC name into SMILES format: N-[(1R)-1-(4-bromophenyl)ethyl]-2-[(4S)-4-methyl-4-(3-nitrophenyl)-2,5-dioxoimidazolidin-1-yl]acetamide",CC(C1=CC=C(C=C1)Br)NC(=O)CN2C(=O)C(NC2=O)(C)C3=CC(=CC=C3)[N+](=O)[O-],iupac2smiles
"What is the SMILES string for the compound named (2S)-2-[[(2R)-5-amino-2-[[(2R)-2-(2,4-dioxo-1H-quinazolin-3-yl)-3-phenylpropanoyl]amino]-5-oxopentanoyl]amino]-4-methylsulfanylbutanoic acid?",CSCCC(C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC1=CC=CC=C1)N2C(=O)C3=CC=CC=C3NC2=O,iupac2smiles
Find the systematic IUPAC name of the molecule represented by CC1(CCCCC1)C(C2=C(C=NN2CCOC)Br)NC.,1-[4-bromo-2-(2-methoxyethyl)pyrazol-3-yl]-N-methyl-1-(1-methylcyclohexyl)methanamine,smiles2iupac
"Please output the SMILES structure that matches this IUPAC name: 6-chloro-2-methyl-N-[2-(1-methylbenzimidazol-2-yl)ethyl]-3-oxo-4H-1,4-benzoxazine-2-carboxamide",CC1(C(=O)NC2=C(O1)C=CC(=C2)Cl)C(=O)NCCC3=NC4=CC=CC=C4N3C,iupac2smiles
I have the IUPAC name 4-chloro-5-(2-hydroxybutylamino)-2-(2-methoxyethyl)pyridazin-3-one. What's the equivalent SMILES string?,CCC(CNC1=C(C(=O)N(N=C1)CCOC)Cl)O,iupac2smiles
Convert the following SMILES string into its IUPAC name: CC1=CC=CC2=C(C3=CC=CC=C3N=C12)OCC4=CC=CC=C4,4-methyl-9-phenylmethoxyacridine,smiles2iupac
"Please output the SMILES structure that matches this IUPAC name: 2-(4-methoxyphenyl)-N-(3-oxo-4H-1,4-benzoxazin-6-yl)-1,3-thiazole-4-carboxamide",COC1=CC=C(C=C1)C2=NC(=CS2)C(=O)NC3=CC4=C(C=C3)OCC(=O)N4,iupac2smiles
"Generate the canonical SMILES corresponding to the IUPAC name: N-[(7S)-1,2-dimethoxy-10-methylsulfanyl-9-oxo-3-[[(2R,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]amino]-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide",CC1C(C(C(C(O1)NC2=C(C(=C3C(=C2)CCC(C4=CC(=O)C(=CC=C43)SC)NC(=O)C)OC)OC)O)O)O,iupac2smiles
Translate this chemical IUPAC name into SMILES format: methyl 2-(3-methyl-2-oxopyridin-1-yl)acetate,CC1=CC=CN(C1=O)CC(=O)OC,iupac2smiles
"Generate the canonical SMILES corresponding to the IUPAC name: 1-(2,3-dichlorophenyl)-4-hydroxy-3-(3-methoxy-4-propoxyphenyl)-2-(4-propan-2-ylphenyl)-2H-pyrrol-5-one",CCCOC1=C(C=C(C=C1)C2=C(C(=O)N(C2C3=CC=C(C=C3)C(C)C)C4=C(C(=CC=C4)Cl)Cl)O)OC,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: 2-[(E)-1-(6-oxooxan-2-yl)-3-phenylprop-2-enyl]sulfonylpropanoic acid,CC(C(=O)O)S(=O)(=O)C(C=CC1=CC=CC=C1)C2CCCC(=O)O2,iupac2smiles
"Can you provide the SMILES representation of 3-(cyanocarbamoyl)-2,2-dimethylcyclopropane-1-carboxylic acid?",CC1(C(C1C(=O)O)C(=O)NC#N)C,iupac2smiles
"Given the IUPAC name (2S,5R)-1,6-bis(4-ethoxyphenyl)-2,5-bis[(1-methylazepan-1-ium-1-yl)methyl]hexane-1,6-dione, return its SMILES notation.",CCOC1=CC=C(C=C1)C(=O)C(CCC(C[N+]2(CCCCCC2)C)C(=O)C3=CC=C(C=C3)OCC)C[N+]4(CCCCCC4)C,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 6-(2-nitrophenyl)-2H-thieno[3,2-c]pyridin-4-one",C1C=C2C(=CC(=NC2=O)C3=CC=CC=C3[N+](=O)[O-])S1,iupac2smiles
"I have the IUPAC name 1-(5-benzhydrylidene-2-bromo-3-tert-butyl-1,3,2-oxazaborolidin-4-yl)-N-tert-butylmethanimine. What's the equivalent SMILES string?",B1(N(C(C(=C(C2=CC=CC=C2)C3=CC=CC=C3)O1)C=NC(C)(C)C)C(C)(C)C)Br,iupac2smiles
"From the IUPAC name N-cyclopropyl-2-[4-[4-(methylamino)-3-nitrobenzoyl]piperazin-1-ium-1-yl]acetamide, generate the corresponding SMILES string.",CNC1=C(C=C(C=C1)C(=O)N2CC[NH+](CC2)CC(=O)NC3CC3)[N+](=O)[O-],iupac2smiles
"Can you provide the SMILES representation of N-(5-chloro-2-methylphenyl)-2-[(3-oxo-2-propan-2-yl-2H-imidazo[1,2-c]quinazolin-5-yl)sulfanyl]acetamide?",CC1=C(C=C(C=C1)Cl)NC(=O)CSC2=NC3=CC=CC=C3C4=NC(C(=O)N42)C(C)C,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 4-(cyclohexylmethyl)-7-ethyl-N-[(4-methoxyphenyl)methyl]-2-methylpyrrolo[1,2-b]pyridazine-3-carboxamide",CCC1=CC=C2N1N=C(C(=C2CC3CCCCC3)C(=O)NCC4=CC=C(C=C4)OC)C,iupac2smiles
"Given the SMILES CC1=CC(=C(C=C1)OC)N2C3=C(C=C(C=N3)Cl)N=C2N, return its official IUPAC name.","6-chloro-3-(2-methoxy-5-methylphenyl)imidazo[4,5-b]pyridin-2-amine",smiles2iupac
Can you provide the SMILES representation of 3-chloro-4-[1-[(1-methoxycyclobutyl)methyl]tetrazol-5-yl]aniline?,COC1(CCC1)CN2C(=NN=N2)C3=C(C=C(C=C3)N)Cl,iupac2smiles
"Given the SMILES COC1=CC(=C(C=C1)OCC2(CCCCC2)CS)Br, return its official IUPAC name.",[1-[(2-bromo-4-methoxyphenoxy)methyl]cyclohexyl]methanethiol,smiles2iupac
Can you provide the IUPAC nomenclature for the compound CCCN(CC(=O)OCC)S(=O)(=O)N(CC)CC?,ethyl 2-[diethylsulfamoyl(propyl)amino]acetate,smiles2iupac
"Generate the canonical SMILES corresponding to the IUPAC name: 5-chloro-N-(5-pyridin-2-yl-13-tricyclo[8.2.1.03,8]trideca-3(8),4,6-trienyl)thiophene-2-sulfonamide",C1CC2CC3=C(CC1C2NS(=O)(=O)C4=CC=C(S4)Cl)C=CC(=C3)C5=CC=CC=N5,iupac2smiles
"Can you provide the SMILES representation of [(2S)-1-(2,6-diethylanilino)-1-oxopropan-2-yl] 2,4-dioxo-7-propan-2-yl-1-propylpyrido[2,3-d]pyrimidine-5-carboxylate?",CCCN1C2=C(C(=CC(=N2)C(C)C)C(=O)OC(C)C(=O)NC3=C(C=CC=C3CC)CC)C(=O)NC1=O,iupac2smiles
Translate this chemical IUPAC name into SMILES format: 2-(4-bromopyrazol-1-yl)-2-methyl-1-[4-(pyridin-3-ylmethyl)piperazin-1-yl]propan-1-one,CC(C)(C(=O)N1CCN(CC1)CC2=CN=CC=C2)N3C=C(C=N3)Br,iupac2smiles
"Generate the canonical SMILES corresponding to the IUPAC name: 1-[1-[1-(1-ethyl-3,5-dimethylpyrazol-4-yl)ethyl]azetidin-3-yl]piperazine",CCN1C(=C(C(=N1)C)C(C)N2CC(C2)N3CCNCC3)C,iupac2smiles
Convert the following IUPAC name to its SMILES representation: 3-[(3-chlorophenyl)sulfamoyl]-N-[[(2S)-1-ethylpyrrolidin-2-yl]methyl]benzamide,CCN1CCCC1CNC(=O)C2=CC(=CC=C2)S(=O)(=O)NC3=CC(=CC=C3)Cl,iupac2smiles
"Convert the following IUPAC name to its SMILES representation: N-[3-(4-chlorophenyl)-1-[4-[1-(2-chlorophenyl)-2-[ethyl(methylsulfonyl)amino]ethyl]piperazin-1-yl]-1-oxopropan-2-yl]-2-(1,2,3,4-tetrahydroisoquinolin-1-yl)acetamide",CCN(CC(C1=CC=CC=C1Cl)N2CCN(CC2)C(=O)C(CC3=CC=C(C=C3)Cl)NC(=O)CC4C5=CC=CC=C5CCN4)S(=O)(=O)C,iupac2smiles
Find the SMILES encoding for the molecule with IUPAC name: 4-(2-fluoro-6-methylsulfinylphenyl)piperidine,CS(=O)C1=CC=CC(=C1C2CCNCC2)F,iupac2smiles
"Find the SMILES encoding for the molecule with IUPAC name: ethyl 2-[[5-(4-fluorophenyl)-2-propylfuran-3-carbonyl]amino]-6-methyl-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",CCCC1=C(C=C(O1)C2=CC=C(C=C2)F)C(=O)NC3=C(C4=C(S3)CC(CC4)C)C(=O)OCC,iupac2smiles
Please output the SMILES structure that matches this IUPAC name: chloromethane;cobalt;2-phosphanyl-N-(pyridin-2-ylmethyl)ethanamine;ruthenium(2+) monohydride,[CH2-]Cl.C1=CC=NC(=C1)CNCCP.[Co].[RuH+2],iupac2smiles
"Convert the following IUPAC name to its SMILES representation: (3S)-N-[(2S)-2-(2-chloro-6-fluorophenyl)-2-pyrrolidin-1-ylethyl]-4-(2,2,2-trifluoroethyl)morpholine-3-carboxamide",C1CCN(C1)C(CNC(=O)C2COCCN2CC(F)(F)F)C3=C(C=CC=C3Cl)F,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: 5-[2-[6-(10,10-diphenylbenzo[b][1,4]benzazasilin-5-yl)pyridin-2-yl]quinolin-6-yl]-10,10-diphenylbenzo[b][1,4]benzazasiline",C1=CC=C(C=C1)[Si]2(C3=CC=CC=C3N(C4=CC=CC=C42)C5=CC6=C(C=C5)N=C(C=C6)C7=NC(=CC=C7)N8C9=CC=CC=C9[Si](C1=CC=CC=C18)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,iupac2smiles
Translate this chemical IUPAC name into SMILES format: 2-[4-(3-chlorophenyl)piperazin-1-yl]-5-(4-methylphenyl)sulfonylpyrimidin-4-amine,CC1=CC=C(C=C1)S(=O)(=O)C2=CN=C(N=C2N)N3CCN(CC3)C4=CC(=CC=C4)Cl,iupac2smiles
Generate the canonical SMILES corresponding to the IUPAC name: methyl 3-[[5-(azepan-1-yl)pyrazine-2-carbonyl]amino]benzoate,COC(=O)C1=CC(=CC=C1)NC(=O)C2=CN=C(C=N2)N3CCCCCC3,iupac2smiles
Convert the following SMILES string into its IUPAC name: CC(=CC1=CC=CO1)C=NNC(=O)C2=CC(=NN2)C3=C(C=CC(=C3)OC)OC,"3-(2,5-dimethoxyphenyl)-N-[[3-(furan-2-yl)-2-methylprop-2-enylidene]amino]-1H-pyrazole-5-carboxamide",smiles2iupac
"Given the IUPAC name 2,3,5,6-tetradeuterio-4-(1-deuterioethenyl)pyridine, return its SMILES notation.",C=CC1=CC=NC=C1,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: (4Z)-5-(3-chloro-4-hydroxyphenyl)-1-cyclohexyl-4-[(2,4-dimethoxyphenyl)-hydroxymethylidene]pyrrolidine-2,3-dione",COC1=CC(=C(C=C1)C(=C2C(N(C(=O)C2=O)C3CCCCC3)C4=CC(=C(C=C4)O)Cl)O)OC,iupac2smiles
"From the IUPAC name 4-methyl-2-[[5-oxo-1-(4-pyrrolidin-1-ylphenyl)pyrrolidine-3-carbonyl]amino]pentanoic acid, generate the corresponding SMILES string.",CC(C)CC(C(=O)O)NC(=O)C1CC(=O)N(C1)C2=CC=C(C=C2)N3CCCC3,iupac2smiles
