instruction,input,output,metadata
"A 30-year-old woman has prominent cervical and dorsal fat pads, hirsutism, acne, purple abdominal striae, unexplained hypokalemia, and diabetes mellitus.Select the most likely disease process for the clinical syndromes described",,"Cushing disease. Cushing disease produces hypercortisolism secondary to excessive secretion of pituitary ACTH. It often affects women in their childbearing years. Prominent cervical fat pads, purple striae, hirsutism, and glucose intolerance are characteristic features, as well as muscle wasting, easy bruising, amenorrhea, and psychiatric disturbances. Diabetes mellitus can result from chronic hypercortisolism Exogenous glucocorticoid use will produce cervical fat pads, purple striae, muscle wasting, easy bruising, and secondary diabetes mellitus. Since, however, most oral glucocorticoids (e.g., prednisone, dexamethasone) have little mineralocorticoid and no androgenic effect, hypokalemia and hirsutism are rare.","{'task': 'Open Question', 'split': 'test'}"
Levetiracetam is effective in:,,"Focal onset seizure. Levetiracetam will be useful in focal onset seizure. Ref: Harrisons principles of internal medicine 18th edition ; Page : 3264, Table : 369/9.","{'task': 'Open Question', 'split': 'test'}"
"Timolol is preferred in glaucoma over pilocarpine, because ",,Produces less ocular side effects,"{'task': 'Open Question', 'split': 'test'}"
The most impoant factor decreasing the systemic bioavailability of orally administered drugs is,,"First pass metabolism. Bioavailability is defined as the fraction of unchanged drug reaching the systemic circulation following administration by any route. For an intravenous dose of the drug, bioavailability is assumed to be equal to unity. For a drug administered orally, bioavailability may be less than 100% for two main reasons: 1. The incomplete extent of absorption across the gut wall and 2. First-pass elimination by the liver 1st pass elimination is also called pre-systemic elimination Reference: Katzung Pharmacology; 13th edition; Chapter 3; Pharmacokinetics & Pharmacodynamics: Rational Dosing & the Time Course of Drug Action","{'task': 'Open Question', 'split': 'test'}"
Purpose of gene therapy:,,Replacement of abnormal gene by normal gene,"{'task': 'Open Question', 'split': 'test'}"
"A 75-year-old woman, associated with emboli and presents with severe pain in the ear as if bathed in acid. In this case, the likely lesion is at",,"Thalamu. (C) Thalamus # Hemisensory disturbance with tingling numbness from head to foot is often thalamic in origin but can also be anterior parietal. If abrupt in onset, the lesion is likely to be due to a small stroke (lacunar infarction), particularly if localized to the thalamus. Occasionally, with lesions affecting the VPL nucleus or adjacent white matter, a syndrome of thalamic pain, also called De'jerine-Roussy syndrome, may ensue. This persistent, unrelenting hemipainful state is often described in dramatic terms such as ""like the flesh is being torn from my limbs"" or ""as though that side is bathed in acid.""","{'task': 'Open Question', 'split': 'test'}"
Which vitamin required for hydroxylation of proline,,C,"{'task': 'Open Question', 'split': 'test'}"
ECG change seen in hypocalcemia: (Repeat 2011),,QT prolongation,"{'task': 'Open Question', 'split': 'test'}"
Intranasal calcitonin is given in ?,,Post menopausal osteoporosis,"{'task': 'Open Question', 'split': 'test'}"
Richard Hanha syndrome is caused by defective metabolism of:,,"Tyrosine. Following transamination, the carbon skeleton of tyrosine is degraded to fumarate and acetoacetate. Metabolic diseases of tyrosine catabolism include tyrosinosis, Richner-Hanha syndrome, neonatal tyrosinemia, and alkaptonuria. Ref: Harper 28th edition, chapter 29.","{'task': 'Open Question', 'split': 'test'}"
Effects mediated by H1 histamine receptor include,,"Maintaince of a wakeful state. The H1 receptor is a histamine receptorbelonging to the family of rhodopsin-like G-protein-coupled receptors.This receptor is activated by the biogenic amine histamine. It is expressed in smooth muscles, on vascular endothelial cells, in the hea, and in the central nervous system. Refer kDT 7/162","{'task': 'Open Question', 'split': 'test'}"
Mechanism of action of 5-FU is?,,"Antimetabolite. ANSWER: (A) AntimetaboliteREF: Goodman and Gillmans 11TH edition page 1087See APPENDIX-37 for ""Anticancer drugs""""Fluorouracil (5-FU) interferes with DNA synthesis by blocking the methylation of deoxyuridylic acid to thymidylic acid"" APPENDIX - 37Classification of Cancer Chemotherapy Agents:GroupSubgroups & AgentsAcute ToxicityDelayed ToxicityUsesAlkylatingAgentsNitrogen Mustard Alkylation of DNA at N7 &06 position of Guanine -DNA crosslinking I; b/n 2 strands - prevents duplication(1) Mechiorethamine(First anticancer drug)CINV-chemo induced nausea vomiting (4hr- 48hrs)MyelosuppressionMyelosuppression (delayed type-onset = 7d, Nadir = 10-14d, reco%rerv = 21-28d)AlopeciaMOPP-HodgkinslymphomaAA are commonly used in chronic leukemia(2) Cyclophosphamide1CP - 4hydroxyCP -aldophosphamide- Acrolein (toxic) & phosphamide mustard (active)]CINVMyelosuppression(CP>Ifo)Myelosuppression (CP>Ifo) Alopecia, SIADHHemorrhagic cystitis (Ifo>CP)Sec cancer-transitional cell cancer of bladderWagner'sgranulomatosis DOC CMF-Breast, small cell lung ca Broad spectrumAA are nonphase specific(3) Ifosfamide 4hydroxy ifosfamide (active)CINVMyelosuppression(CP>Ifo)Myelosuppression(CP>Ifo)AlopeciaHemorrhagic cystitis (Ifo>CP)Broad spectrum Lung, breast, ovary, sarcoma, testis, germ cell tumorAA causes secondary leukemia in 4-5 years(4) Melphanamino acid derivative ofmechloretamineCINVMyelosuppressionMyelosuppression No alopeciaMultiple myeloma DOCCan replace C in CMF (5) ChlorambucilMyelosuppression CINV is rareMyelosuppression No alopeciaCLL, Hodgkin's Nitrosoureas(lipophilic-crosses BBB) Nitrosoureas causes delayedMyelosuppression (onset-15d, Nadir-4wks, recovery-6wks) (1) Carmustine (BCNU- bis chloro nitroso urea)CINV (severe-2hrs)Myelosuppression, male infertility,Pulmonary fibrosisBrain tumors DOC(Glioblastomamultiforme.Astrocytoma,Medulloblastoma) (2) Lomustine (CCNU)CINV (severe-2hrs)Myelosuppression Interstitial lung diseasedo (3) Semustine (methyl CCNU)CINV (severe-2hrs)Myelosuppressiondo (4) Streptozocin (methylation of protein & nucleic acid)CINV (severe-2 hrs)No MyelosuppressionPancreatic islet cell tumorCarcinoid tumor Alkyl Sulfonates(Intra strand cross linking of DNA by 2 N7 Guanine) BUSULFAN {Dealkylating agent)Hyperuricemia(MC)Sterility, gynecomastia, seizures, Skin pigmentation, Adrenal insufficiency Pulmonary fibrosis (specific)CM L-DOC until imatinibConditioning of BM transplant Ethyl Enimines Thiotepa(Organophosphorous)CINVMyelosuppressionSeldom used nowNon ClassicalAlkylatingAgentsTriazenes Acts on RNA &Protein synthesis not/ mild DNADacarbazine (Active- methyl carbonium ion)CINV-severePermanent sterility Myelos uppre ssion (early/classical)MAID-sarcoma, ABVD-Hodgkins Malignant melanoma (most active agent) Procarbazine (autoxidize spontaneously, Active- Azoprocarbazine, crosses BBB)CINV, MAO inhibitor Disulfiram like reactionMyelosuppression,DermatitisLeukenogenic,teratogenicMOPP-Hodgkin'sPCV-Glioblastoma AltretamineCINV-severe HypotensionNeuro toxic NephrotoxicRefractory ovarian cancerAlkylating Like AgentsPlatinum Compounds 1st gen platinum Inactivated by aluminumCisplatinCINV (most emitogenic)Hypo Mg, K, Ca sec to hypo Mg)Myelosuppression N ephrotoxicity, Ototoxicity Secondary leukemiaCMF-Solidmalignancies2nc generation platinum, Cross resistance- cisplatinCarboplatinCINV (cis>carbo)Myelosuppression(carbo>ds)No nephrotoxicityLess potent than cisplatin (1:4) GemCarco-Iung cancer3rd generation platinum No cross resistanceOxaliplatinPSN pathy (reversible hand & foot, temp loss)Neurotoxicity (dose limiting)No nephrotoxicity PSN pathyflrreversible, hand, foot, leg, arm, temp loss, propio loss)FOLFOX- colon cancerCis/carboplatin resistance AntimetabolitesFolate Antagonists S phase specificMethotrexate HepatotoxicityMyelosuppressionMucositisChoriocarcinoma DOC, ALL, Osteosarcoma. RA, ectopic Myasthenia, psoriasis, meningeal leukemia (intrathecal route)Inhibits DMA syn thesisPemetrexed : Mesothelioma, nonsmall cell lungNo acute toxicidesPurine Analogue Commonly used in acute leukemias6 THIO Guanine MyelosuppressionHepatotoxicityAdult acute leukemia 6 Mercapto Purine Myelosupp ression, hepatotoxicityChildhood acute leukemia Fludrabine Myelosuppression, Flu like symptom (fever, myalgia, arthralgia) Cladribine Myelosuppression, Nephrotoxic, ClXVHairy cell leukemia Pentostatin NephrotoxicHairy cell leukemia Pyrimidine Analogue 5 Fluorouracil (5-FU) GI upset-diarrhea (MC) Hand foot syndrome, CINVMyelosuppression, neurotoxicity Cerebellar ataxia Cytrabine Stomatitis, CINV, Cerebellar ataxia MyelosuppressionAML Capecitabine CINV, Diarrhea, Hand foot syndrome Myelosupp ression (<5FU)Metastatic breast cancer, Metastatic colorectal cancer Gamecitabine CINV, Myelosuppression (dose limiting)Pancreatic cancer DOC Bladder & Nonsmall cell lung CaAntibioticsAnthracyclinsTopoisomerase 2 inhibitor (me)Quinone Free radical injury & intercalation b/n DNA strandsMembrane binding (responsible for cardiotoxicity) Doxorubicin (Adriamycin)CINV, AlopeciaMyelosuppression (dose limiting, neutropenia >th rombocytopenia) Cardiotoxicity(cardiomy opathy, CHF)Radiation recall Hand foot syndromeBroad spectrum Solid tumors & sarcomas (rhabdo/ leiomyosarcoma, Kaposi sarcoma) DaunorubcinCl MV, AlopeciaMyelosuppression, cardiotoxicity, radiation recallNarrow spectrum AML Idarubcin (synthetic Daunorubicin analogue)CINV, Alopecia, Red urine (not hematuria)Myelosuppression, cardiotoxicity, radiation recallAML (more efficacious than daunorubicin) MitoxantroneCINV, Bluish discoloration of nailsMyelosuppression (dose limiting)Lower cardiotoxicity? Other Antibiotics Bleomycin(Glyco peptide Antibiotic) Free radical injury - ds- ss DMA breaks, have both DNA & Fe binding domainAllergic reaction HypotensionPulmonary fibrosis (dose limiting)Mucocutaneous toxicity? Marrow sparingHL, NHL, SCC Malignant pleural effusionAscitis (sclerosing agent) Mitomycin- CActs as alkylating agentCINVHemolytic uremic syndrome. Pulmonary- fibrosis, 8th nerve damageRadiosensitizer- DOC, SCC Dactinomycin Inhibits all forms of DMA dependent RMA synthesis, r-RNA most sensitiveCINVMyelosupp ression Alopecia Radiation recallPediatric tumors (Ewing's, witm's, Rhabdomyosarcoma) Radiosensitizer ActinomycinCINVDesquamationMyelosuppressionAlopeciaPediatric tumors (Ewing's, wilm's, Rhab domyosarcoma) Radiosensitizer PlicamycinCINV EnzymeL-ASPARGINASE (inhibits protein synthesis of tumor cell by depletion of L-Aspargine)Anaphylaxis/ hyper sensitivity- fever, chills, rash, urticaria (brochospasm, hypotension if severe)Hypercoagulable state Pancreatitis, Hepatotoxicity Marrow sparing, no alopeciaALLIneffective in solid tumors(normal cells spared)Plant DerivedVinca AlkaloidsM phase specificInhibits tubulin polymerizationMitotic inhibitors VincristineAlopeciaPSNpathySIADH, Marrow sparingLymphosarcoma, wilm's, Ewing's Remission of childhood acute leukemia. VinblastineAlopecia (Vc >Vb)PSNpathy (Vc >Vb) MyelosuppressionHodgkin s, testicular carcinoma EpipodophylotoxinsTopoisomerase 2 inhibitor Etopside (VP-16)CINV, HypotensionMyelosuppression, early onset secondary leukemia (1-3 years) alopecia Teniposide (VP-26) TaxansM phase specificEnhance tubulin polymerizationSpindle poison PaclitaxelHypersensitivityPSNpathy (stocking glove type) Myelosuppression,Cisplatin resistance Relapse &resistant breast/ovary ca Docetaxel (more potent)HypersensitivityMyelosuppression, PSNpathy (is less frequent)Cisplatin resistance, Relapse-resistant br/ovary ca CamptothecinTopoisomerase 1 inhibitorss DNA breaks TopothecanCINVMyelosuppression (dose limiting) Irinothecan (active = SN-38)CINV, Cholinergic syndrome (SLUDGE) including early diarrhea-24hrsMyelosuppression, cholinergic syndrome (SLUDGE) including late diarrhea 3-10d (dose limiting)Advanced colorectal ca- DOCMiscellaneousArsenic Trioxide (degradation of PM LI & RARa protein)Headache, lightheadednessCINVCardiotoxicity (QT prolongation, arrhythmias), Myelosuppression Syndrome-fever, fluid retention, wt gain, rashAPL-induction in tretinoin relapse and refractoryHydroxyurea has 100% oral bioavailabilityHydroxyurea (inhibits ribonucleotide reductase - inhibits DMA synthesis)CINVMyelosuppression (dose limiting)HyperpigmentationCMLAML-blast crisis Imatinib (Bcr-Abl Tyrosine kinase inhibitor)CINVFluid retention, Ankle & perioral edemaCML-chronic phase GIST with Ckit tyrosine kinase Dasatinib & Nilotinib (novel agents- TK inhibitors) CML- imatinibresistance/intoleranceAnticancer Drug Toxicities:MYELOSUPPRESSIONAll except Asparginase, Vincristine, BleomycinCARDIOTONICAnthracyclins, arsenic trioxideNEPHROTOXICPlatinum compounds (cisplatin>carboplatin>oxaliplatin)PULMONARY FIBROSISBleomycin. Busulfan, CarmustinePERIPHERAL NEUROPATHYGxaliplatin, vincristine Taxans (stoking & glove type)HAEMORRHAGIC CYSTITISCyclophosphamide, IfosfamideHAND FOOT SYNDROME5FU, Capecitabine, DoxorubicinCEREBELLAR ATAXIAPyrimidine analogs like Cytrabine & 5FUSIADHCyclophosphamide, VincristineSECONDARY LEUKEMIAAll alkylating agents & alkylating like agents (in 4-5 years) E topside (in 1-3 years)STERLITYAlkylating agentsDISULFIRAM LIKE REACTIONProcarbazineCHOLINERGIC SYNDROMEIrinitecanRADIATION RECALL SYNDROMEAnthracydinsAnticancer Drugs Toxic Amelioration:ToxicityMeasuresMethotrexateFolinic acidAlkalization of urine (Mtz is weak acid & reabsorbed in acidic urine)Hemorrhagic cystitis (cyclophosphamide, ifosfamide)ME SNA (2 mercapto ethyl sulfonyl sodium) systemic ACETYLCYSTEINE irrigation of bladderHigh fluid intakeFrequent voidingCINV (Cytotoxic drug induced nausea Stvomiting )Ondansetron (5HT3 Antagonist)Cytotoxic drug induced MucositisPabfermin (human recombinant keratinocyte growth factor)TUMOR LYSIS SYNDROME (hyperkalemia, hypophosphatemia, hyperuricemia, hypemricosuria, hypocalcaemia, acute renal failure)prophylactic ALLOPURINOL (xanthine oxidase inhibitor)alternatively RASBURICASE (urkase)Aggressive hydrationHigh urine outputAlkalization of urine not recommended/controversialDiuresis is reserved for well hydrated patientsHEMODIALYSIS (if above fails) MYE LOS OPPRESSIONFor AnemiaERYTHROPOIETIN (recombinant)For NeutropeniaFILGRASTIM- Granulocyte colony-stimulating factor (G-CSF) analogSARGRAMOSTTM - Recombinant granulocyte macrophage colony stimulating factor (GM-CSF)For ThrombocytopeniaOPRELVEKIN (IL-11)BONE MARROW TRANSPLANT (for extreme suppression)CANCER CACHEXIATHALIDOMIDECYTOPROTECTION of normal tissueAMIFOSTINE= WTR-2721=prodrug(active = free thiol=WR-1065. activation normal tissue)USES=cispIatin based chemotherapy & radiation therapyAnthracyclins induced CARDIOTOXICITYDEXRAZOXAXE (ICRF-187) Iron chelating agent Cardio protective agent, derivative of EDTA","{'task': 'Open Question', 'split': 'test'}"
"Final common pathway of metabolism of carbohydrate, lipids and protein metabolism is?",,"TCA. ANSWER: (C) TCAREF: Lippincott's biochemistry 4th ed page 109, Harper's 28th ed page 306See Biochemistry 2013 Session 2 for details of TCA/kerb cycle cyde is an aerobic pathway, because O2. is required as the final electron acceptor. Most of the body's catabolic pathways converge on the TCA cyde. Reactions such as the catabolism of some amino adds generate intermediates of the cycle and are called anaplerotic reactions. The citric add cycle also participates in a number of important synthetic reactions. For example, the cycle functions in the formation of glucose from the carbon skeletons of some amino acids, and it provides building blocks for the synthesis of some amino acids and heme.","{'task': 'Open Question', 'split': 'test'}"
Qukk Reduction of blood pressure is done in ,,"Hypeensive encephalopathy. blood pressure should be lowered rapidly in patients with hypeensive encephalopathy, there are inherent risks of overly aggressive therapy. In hypeensive individuals, the upper and lower limits of autoregulation of cerebral blood flow are shifted to higher levels of aerial pressure, and rapid lowering of blood pressure to below the lower limit of autoregulation may precipitate cerebral ischemia or infarction as a consequence of decreasedcerebral blood flow. Renal and coronary blood flows also may decrease with overly aggressive acute therapy. The initial goal of therapy is to reduce mean aerial blood pressure by no more than 25% within minutes to 2 h or to a blood pressure in the range of 160/100-110 mmHg. This may be accomplished with IV nitroprusside, a sho-acting vasodilator with a rapid onset of action that allows for minute-to-minute control of blood pressure. Parenteral labetalol and nicardipine are also effective agents for the treatment of hypeensive encephalopathy. ref:Harrison&;s principles of internal medicine,ed 18,pg no 2059","{'task': 'Open Question', 'split': 'test'}"
Type II paralysis in organophosphorous poisoning treatment is ,,Symptomatic treatment,"{'task': 'Open Question', 'split': 'test'}"
Drug of choice for chronic myeloid Leukemia (CML) is:,,"Imatinib. Imatinib mesylate is the drug of choice for the management of chronic myeloid leukemia. Imatinib mesylate is an inhibitor of tyrosine kinase activity on BCR-ABL proteins and thereby inducing apoptosis. It produces much better haematologic and cytogenetic responses than the previous standard therapy. Though IFN and hydroxyurea are used in the management of CML, Imatinib is the preferred drug in the options provided. So Imatinib is the single best answer of choice. Ref: Harrison's Principles of Internal Medicine, 16th Edition, Pages 638-40; Manual of Practical Medicine By R Alagappan, 3rd Edition, Page 348","{'task': 'Open Question', 'split': 'test'}"
Glycogen storage disorder due to muscle phosphorylase deficiency,,"Mcardle's disease. McArdle&;s disease: type V glycogen storage disease.Due to deficiency of muscle phosphorylase. Incidence 1 out of 1million.Ref: DM Vasudevan, 7th edition, page no: 144","{'task': 'Open Question', 'split': 'test'}"
Aspirin triad is ,,"Sampter's triad. ASA triad (also known as Samter's Triad) is characterized by nasal polyps, asthma and aspirin intolerance . Patients with this condition develop a special rash and/or asthmatic reaction, which can be life threatening, when they take aspirin or aspirin-related drugs (ibuprofen, others). Patients with ASA triad have severe asthma and rhinosinusitis. Even after appropriate sinus surgery, the polyps can return. Optimal treatment includes sinus surgery and medical management. Most patients with ASA triad require systemic and topical coicosteroids. Good asthma treatment is critical as well. Some centers employ aspirin desensitization, a specific technique to create aspirin tolerance, which seems to improve both the asthma and the rhinosinusitis. Ref - medscape.com","{'task': 'Open Question', 'split': 'test'}"
"A 65-year old man presented with skin lesions on his chest and left arm and shoulder six weeks after returning from a cacation in Belize at the beach in the fain forest. The lesions occasionally stung, drained a dark exudates, and enlarged despite two weeks of treatment with cephalexin. The patient had no constitutional symptoms. Physical examination reveed five nodules of varying sizes with surrounding erythema and a central pore through which a single, moving larva was observed. The larvae coming out of the pores are",,"Dermatobia hominis. The human bot fly, Dermatobia hominis, is a parasite of humans, cattle, swine, cats, dogs, horses, sheep, and other mammals and a few birds in Mexico and Central and South America. The larvae feed under the skin, causing often episodically painful, swollen, draining cutaneous lesions with a typical air-pore . Ref Harrison20th edition pg 1078","{'task': 'Open Question', 'split': 'test'}"
