question_smiles,question_iupac,answer
How many carbon atoms make up the structure CP(C)(=O)c1ncn2c(CCc3c(F)ccc4c3CCO4)ncc(-c3ccccc3)c12.CS(=O)(=O)c1ncn2c(CCc3c(F)ccc4c3CCO4)ncc(-c3ccccc3)c12.CSc1ncc(Br)c2cncn12.Cc1ncn2c(CCc3c(F)ccc4c3CCO4)ncc(-c3ccccc3)c12.Fc1ccc2c(c1CCc1ncc(-c3ccccc3)c3c(I)ncn13)CCO2.Fc1ccc2c(c1CCc1ncc(-c3ccccc3)c3cncn13)CCO2.Fc1ccc2c(c1CCc1ncc(Br)c3cncn13)CCO2?,"How many carbon atoms make up the structure 8-bromo-5-[2-(5-fluoro-2,3-dihydro-1-benzofuran-4-yl)ethyl]imidazo[1,5-c]pyrimidine;8-bromo-5-methylsulfanylimidazo[1,5-c]pyrimidine;1-dimethylphosphoryl-5-[2-(5-fluoro-2,3-dihydro-1-benzofuran-4-yl)ethyl]-8-phenylimidazo[1,5-c]pyrimidine;5-[2-(5-fluoro-2,3-dihydro-1-benzofuran-4-yl)ethyl]-1-iodo-8-phenylimidazo[1,5-c]pyrimidine;5-[2-(5-fluoro-2,3-dihydro-1-benzofuran-4-yl)ethyl]-1-methyl-8-phenylimidazo[1,5-c]pyrimidine;5-[2-(5-fluoro-2,3-dihydro-1-benzofuran-4-yl)ethyl]-1-methylsulfonyl-8-phenylimidazo[1,5-c]pyrimidine;5-[2-(5-fluoro-2,3-dihydro-1-benzofuran-4-yl)ethyl]-8-phenylimidazo[1,5-c]pyrimidine?",137
What is the total count of carbon atoms in CC(C)(C)c1nnc(SCC(=O)Nc2ccc(N3CCCCC3)cc2)n1N?,"What is the total count of carbon atoms in 2-[(4-amino-5-tert-butyl-1,2,4-triazol-3-yl)sulfanyl]-N-(4-piperidin-1-ylphenyl)acetamide?",19
"Given O=C1CC(c2cccc(Cl)c2)CC(=O)C1=CNCCCO, return the number of carbon atoms.","Given 5-(3-chlorophenyl)-3-hydroxy-2-(3-hydroxypropyliminomethyl)cyclohex-2-en-1-one, return the number of carbon atoms.",16
Count the number of carbon atoms in CCCOCC(O)CC.,Count the number of carbon atoms in 1-propoxybutan-2-ol.,7
Identify the carbon atom count in the molecule CC(Nc1ccc(C(=O)O)c(Br)c1)c1ccccc1F.,Identify the carbon atom count in the molecule 2-bromo-4-[1-(2-fluorophenyl)ethylamino]benzoic acid.,15
Determine the total carbon count for CN(c1nc(=[N+](C)C)ss1)C1CCCCC1.,"Determine the total carbon count for [5-[cyclohexyl(methyl)amino]-1,2,4-dithiazol-3-ylidene]-dimethylazanium.",11
Report the number of carbon atoms in Cc1nc(C)c(C(=O)N2C[C@H]3C[C@H](C2)[C@H]2CCCC(=O)N2C3)s1.,"Report the number of carbon atoms in (1R,2R,9R)-11-(2,4-dimethyl-1,3-thiazole-5-carbonyl)-7,11-diazatricyclo[7.3.1.02,7]tridecan-6-one.",17
What is the total count of carbon atoms in O=C(NC1CCCC1)c1ccc(Br)s1?,What is the total count of carbon atoms in 5-bromo-N-cyclopentylthiophene-2-carboxamide?,10
How many carbons are present in the molecule O=S(=O)(NC1CCCNC1)c1c(F)cccc1F?,"How many carbons are present in the molecule 2,6-difluoro-N-piperidin-3-ylbenzenesulfonamide?",11
How many carbon atoms make up the structure CN(c1ncnc2[nH]ccc12)C1CC(NS(=O)(=O)C2CC(F)(F)C2)C1?,"How many carbon atoms make up the structure 3,3-difluoro-N-[3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]cyclobutyl]cyclobutane-1-sulfonamide?",15
Report the number of carbon atoms in COc1ccc(OC)c(N(CC(=O)N2CCCCC2)S(=O)(=O)c2ccc(OC)c(OC)c2)c1.,"Report the number of carbon atoms in N-(2,5-dimethoxyphenyl)-3,4-dimethoxy-N-(2-oxo-2-piperidin-1-ylethyl)benzenesulfonamide.",23
Count the number of carbon atoms in CCNC(=O)C(Cc1ccccc1)NC(=O)C(COCc1ccccc1)NS(C)(=O)=O.,Count the number of carbon atoms in N-ethyl-2-[[2-(methanesulfonamido)-3-phenylmethoxypropanoyl]amino]-3-phenylpropanamide.,22
Compute the total number of carbons in CCCCCS(=O)(=O)CC(=O)N[C@H](CC(=O)O)c1cccc2ccccc12.,Compute the total number of carbons in (3R)-3-naphthalen-1-yl-3-[(2-pentylsulfonylacetyl)amino]propanoic acid.,20
How many carbons are present in the molecule CN(CCCc1nccn1C)C(=O)Nc1cccc(Cl)c1F?,How many carbons are present in the molecule 3-(3-chloro-2-fluorophenyl)-1-methyl-1-[3-(1-methylimidazol-2-yl)propyl]urea?,15
"For the molecule Cc1ccccc1CC(=O)N1CCC[C@H]1COc1ccc(C(=O)NC(C)C)cc1, how many carbon atoms does it contain?","For the molecule 4-[[(2S)-1-[2-(2-methylphenyl)acetyl]pyrrolidin-2-yl]methoxy]-N-propan-2-ylbenzamide, how many carbon atoms does it contain?",24
What is the total count of carbon atoms in CCCCN(CCCC)CN1C(=O)C(=NNC(=O)CON=Cc2ccc(OC)c(OC)c2)c2cc(Br)ccc21?,"What is the total count of carbon atoms in N-[5-bromo-1-[(dibutylamino)methyl]-2-hydroxyindol-3-yl]imino-2-[(3,4-dimethoxyphenyl)methylideneamino]oxyacetamide?",28
Compute the total number of carbons in CC(=O)Nc1nonc1-c1nnc(SCc2cccc(Br)c2)n1C.,"Compute the total number of carbons in N-[4-[5-[(3-bromophenyl)methylsulfanyl]-4-methyl-1,2,4-triazol-3-yl]-1,2,5-oxadiazol-3-yl]acetamide.",14
"Given Cc1n[nH]cc1CN1C[C@H](c2ccc(Cl)cc2)[C@@H](O)[C@H]1CO, return the number of carbon atoms.","Given (2R,3R,4S)-4-(4-chlorophenyl)-2-(hydroxymethyl)-1-[(5-methyl-1H-pyrazol-4-yl)methyl]pyrrolidin-3-ol, return the number of carbon atoms.",16
How many carbon atoms make up the structure Cc1nc(NCCC2=CCCCC2)cc(C(=O)NCc2ccccc2)n1?,How many carbon atoms make up the structure N-benzyl-6-[2-(cyclohexen-1-yl)ethylamino]-2-methylpyrimidine-4-carboxamide?,21
Count the number of carbon atoms in O=C(O)C(F)(F)c1ccc(OC(F)(F)F)c(Br)c1.,"Count the number of carbon atoms in 2-[3-bromo-4-(trifluoromethoxy)phenyl]-2,2-difluoroacetic acid.",9
How many carbon atoms make up the structure Cc1ccn2c(c1)nc(=S)n2C(=O)c1ccc(F)cc1?,"How many carbon atoms make up the structure (4-fluorophenyl)-(7-methyl-2-sulfanylidene-[1,2,4]triazolo[1,5-a]pyridin-3-yl)methanone?",14
"Given CCc1ncc(NC(=O)NC(C)CO)cn1, return the number of carbon atoms.","Given 1-(2-ethylpyrimidin-5-yl)-3-(1-hydroxypropan-2-yl)urea, return the number of carbon atoms.",10
Count the number of carbon atoms in Cc1cccc(Cn2c(=O)c3c(nc4n3C[C@@H](C)CN4c3ccc(Cl)cc3)n(C)c2=O)c1.,"Count the number of carbon atoms in (7S)-9-(4-chlorophenyl)-1,7-dimethyl-3-[(3-methylphenyl)methyl]-7,8-dihydro-6H-purino[7,8-a]pyrimidine-2,4-dione.",24
Determine the total carbon count for CC1(C)C[C@@H](NCc2ccccc2OCCO)C(C)(C)O1.,"Determine the total carbon count for 2-[2-[[[(3R)-2,2,5,5-tetramethyloxolan-3-yl]amino]methyl]phenoxy]ethanol.",17
How many carbons are present in the molecule CC(C)Cn1c(N)c(C(=O)COC(=O)c2ccc([N+](=O)[O-])o2)c(=O)n(C)c1=O?,"How many carbons are present in the molecule [2-[4-amino-1-methyl-3-(2-methylpropyl)-2,6-dioxopyrimidin-5-yl]-2-oxoethyl] 5-nitrofuran-2-carboxylate?",16
Determine the total carbon count for CC(C)CC(C)C1CC1.,Determine the total carbon count for 4-methylpentan-2-ylcyclopropane.,9
What is the total count of carbon atoms in COCN(C)CCc1c(C)cc(C)cc1OC?,"What is the total count of carbon atoms in 2-(2-methoxy-4,6-dimethylphenyl)-N-(methoxymethyl)-N-methylethanamine?",14
Compute the total number of carbons in CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)Cc3ccc(Oc4ccc(C(F)(F)F)cn4)cc3)ccc2O1.,"Compute the total number of carbons in 2-[(2,2-dimethyl-3,4-dihydrochromen-6-yl)sulfonyl-[[4-[[5-(trifluoromethyl)-2-pyridinyl]oxy]phenyl]methyl]amino]acetic acid.",26
Count the number of carbon atoms in CC1(c2ccccc2)NC(=O)N(Cc2cccc3c2OCCO3)C1=O.,"Count the number of carbon atoms in 3-(2,3-dihydro-1,4-benzodioxin-5-ylmethyl)-5-methyl-5-phenylimidazolidine-2,4-dione.",19
Report the number of carbon atoms in CC(=NNC(=S)Nc1ccccc1)c1ccc(Cl)c(Cl)c1.,"Report the number of carbon atoms in 1-[1-(3,4-dichlorophenyl)ethylideneamino]-3-phenylthiourea.",15
How many carbon atoms make up the structure COc1cccc(F)c1-c1nccn1[C@H]1CCC[C@@H]1O.O=CO?,"How many carbon atoms make up the structure formic acid;trans-(1S,2S)-2-[2-(2-fluoro-6-methoxyphenyl)imidazol-1-yl]cyclopentan-1-ol?",16
"For the molecule Nc1nc(C(=NOCCF)C(=O)NC2C(=O)N3C(C(=O)O)=C(Sc4nc5ccccc5o4)CCC23)cs1, how many carbon atoms does it contain?","For the molecule 7-[[2-(2-amino-1,3-thiazol-4-yl)-2-(2-fluoroethoxyimino)acetyl]amino]-3-(1,3-benzoxazol-2-ylsulfanyl)-8-oxo-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid, how many carbon atoms does it contain?",22
What is the total count of carbon atoms in CCCOC(=O)c1cccc(NC(=O)CSc2nnc(CNC(=O)c3ccc(C)cc3)n2CC)c1?,"What is the total count of carbon atoms in propyl 3-[[2-[[4-ethyl-5-[[(4-methylbenzoyl)amino]methyl]-1,2,4-triazol-3-yl]sulfanyl]acetyl]amino]benzoate?",25
How many carbon atoms make up the structure O=C(C1CCC(=O)N1Cc1ccccc1Cl)N1CCC2(CC1)OCCO2?,"How many carbon atoms make up the structure 1-[(2-chlorophenyl)methyl]-5-(1,4-dioxa-8-azaspiro[4.5]decane-8-carbonyl)pyrrolidin-2-one?",19
How many carbon atoms make up the structure COCc1cc(C)[nH]c(=O)c1C(=O)NC12CC3CC(CC(C3)C1)C2?,How many carbon atoms make up the structure N-(1-adamantyl)-4-(methoxymethyl)-6-methyl-2-oxo-1H-pyridine-3-carboxamide?,19
Compute the total number of carbons in COc1ccc([C@@H](C(=O)NC[C@@H]2CCCO2)N(C(=O)CNC(=O)c2cccs2)c2cccnc2)cc1OC.,"Compute the total number of carbons in N-[2-[[(1S)-1-(3,4-dimethoxyphenyl)-2-oxo-2-[[(2S)-oxolan-2-yl]methylamino]ethyl]-pyridin-3-ylamino]-2-oxoethyl]thiophene-2-carboxamide.",27
How many carbons are present in the molecule O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCOCC2)n1-c1ccccc1F?,How many carbons are present in the molecule 3-(2-fluorophenyl)-2-(morpholin-4-ylmethyl)-6-nitroquinazolin-4-one?,19
Identify the carbon atom count in the molecule C[C@@H]1CN(C(=O)N[C@@H](CS(C)(=O)=O)c2ccccc2)CCCO1.,"Identify the carbon atom count in the molecule (2R)-2-methyl-N-[(1R)-2-methylsulfonyl-1-phenylethyl]-1,4-oxazepane-4-carboxamide.",16
Determine the total carbon count for CCOC(=O)CC1=CC(=O)N(CC(=O)Nc2ccc(OC)cc2OC)c2ccccc2N1.,"Determine the total carbon count for ethyl 2-[1-[2-(2,4-dimethoxyanilino)-2-oxoethyl]-2-oxo-5H-1,5-benzodiazepin-4-yl]acetate.",23
"Given COc1ccc(-c2csc(NC3CCCCC3)n2)c(OC)c1, return the number of carbon atoms.","Given N-cyclohexyl-4-(2,4-dimethoxyphenyl)-1,3-thiazol-2-amine, return the number of carbon atoms.",17
How many carbon atoms make up the structure CCc1ccc(C2NC(=O)NC(O)(C(F)(F)F)C2C(=O)c2ccc(C)cc2)cc1?,"How many carbon atoms make up the structure 6-(4-ethylphenyl)-4-hydroxy-5-(4-methylbenzoyl)-4-(trifluoromethyl)-1,3-diazinan-2-one?",21
Count the number of carbon atoms in O=C1COC2CCCC12.,"Count the number of carbon atoms in 4,5,6,6a-tetrahydro-3aH-cyclopenta[b]furan-3-one.",7
Count the number of carbon atoms in CC(C)(C)OC(=O)NCC[C@@H](NC(=O)OC(C)(C)C)C(=O)O.,"Count the number of carbon atoms in (2R)-2,4-bis[(2-methylpropan-2-yl)oxycarbonylamino]butanoic acid.",14
Count the number of carbon atoms in CC(C)CC(CC(=O)NO)C(=O)NC(CC(C)C)c1nc2cc(Cl)c(Cl)cc2[nH]1.,"Count the number of carbon atoms in N-[1-(5,6-dichloro-1H-benzimidazol-2-yl)-3-methylbutyl]-N'-hydroxy-2-(2-methylpropyl)butanediamide.",20
Determine the total carbon count for Cn1c(C(C)(C)C)cc(=NC(=O)c2cc(C(F)(F)F)ccc2ONC(C)(C)C)n1CCC(F)(F)F.,"Determine the total carbon count for 2-(tert-butylamino)oxy-N-[5-tert-butyl-1-methyl-2-(3,3,3-trifluoropropyl)pyrazol-3-ylidene]-5-(trifluoromethyl)benzamide.",23
Identify the carbon atom count in the molecule O=C(C=Cc1ccc2ccccc2c1)Nc1ccc2c(c1)OCCO2.,"Identify the carbon atom count in the molecule N-(2,3-dihydro-1,4-benzodioxin-6-yl)-3-naphthalen-2-ylprop-2-enamide.",21
How many carbons are present in the molecule CCOc1cc(C=C2C(=O)NC(=O)N(C)C2=O)ccc1OCc1ccc(F)cc1?,"How many carbons are present in the molecule 5-[[3-ethoxy-4-[(4-fluorophenyl)methoxy]phenyl]methylidene]-1-methyl-1,3-diazinane-2,4,6-trione?",21
Report the number of carbon atoms in Cc1n[nH]c2ccc(-c3nnc(NCC(N)Cc4ccccc4C(F)(F)F)s3)cc12.,"Report the number of carbon atoms in 1-N-[5-(3-methyl-2H-indazol-5-yl)-1,3,4-thiadiazol-2-yl]-3-[2-(trifluoromethyl)phenyl]propane-1,2-diamine.",20
What is the total count of carbon atoms in CCCc1cnc(-c2ccc(OC)c(OC)c2OC)nc1?,"What is the total count of carbon atoms in 5-propyl-2-(2,3,4-trimethoxyphenyl)pyrimidine?",16
What is the total count of carbon atoms in O=C([C@@H]1[C@@H]2C=C[C@@]3(CN(CCOc4ccccc4)C(=O)[C@@H]13)O2)N1CCC(F)CC1?,"What is the total count of carbon atoms in (1R,5S,6S,7S)-6-(4-fluoropiperidine-1-carbonyl)-3-(2-phenoxyethyl)-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-en-4-one?",22
Report the number of carbon atoms in COCCN(C)Cc1cc2n(n1)CCN(C(=O)[C@@H]1CCCCN1C(=O)OC)C2.,"Report the number of carbon atoms in methyl (2S)-2-[2-[[2-methoxyethyl(methyl)amino]methyl]-6,7-dihydro-4H-pyrazolo[1,5-a]pyrazine-5-carbonyl]piperidine-1-carboxylate.",19
Compute the total number of carbons in C[C@@H]1COC[C@H](C)N1C(=O)[C@@H]1C[C@@H]1c1ccc(F)cc1.,"Compute the total number of carbons in [(3R,5S)-3,5-dimethylmorpholin-4-yl]-[(1R,2S)-2-(4-fluorophenyl)cyclopropyl]methanone.",16
Determine the total carbon count for CC1(F)C(N)C(CO)OC1n1ccc2c(-c3ccsc3)nc(N)nc21.,"Determine the total carbon count for [3-amino-5-(2-amino-4-thiophen-3-ylpyrrolo[2,3-d]pyrimidin-7-yl)-4-fluoro-4-methyloxolan-2-yl]methanol.",16
What is the total count of carbon atoms in Cc1ccc(C=O)[nH]1?,What is the total count of carbon atoms in 5-methyl-1H-pyrrole-2-carbaldehyde?,6
What is the total count of carbon atoms in CC(=O)C1CN=C(C)O1?,"What is the total count of carbon atoms in 1-(2-methyl-4,5-dihydro-1,3-oxazol-5-yl)ethanone?",6
How many carbons are present in the molecule CCOC(=O)N1CCC(NCc2cncn2CC(C)C)CC1?,How many carbons are present in the molecule ethyl 4-[[3-(2-methylpropyl)imidazol-4-yl]methylamino]piperidine-1-carboxylate?,16
How many carbon atoms make up the structure O=C(O)CN(C(=O)NCc1cccnc1)C1CCCC1?,How many carbon atoms make up the structure 2-[cyclopentyl(pyridin-3-ylmethylcarbamoyl)amino]acetic acid?,14
How many carbons are present in the molecule Cc1nnc(C)n1N=Cc1ccccc1Br?,"How many carbons are present in the molecule 1-(2-bromophenyl)-N-(3,5-dimethyl-1,2,4-triazol-4-yl)methanimine?",11
How many carbons are present in the molecule C[C@H]1Sc2ccc(C(=O)N3CCN(c4nccs4)CC3)cc2NC1=O?,"How many carbons are present in the molecule (2R)-2-methyl-6-[4-(1,3-thiazol-2-yl)piperazine-1-carbonyl]-4H-1,4-benzothiazin-3-one?",17
How many carbon atoms make up the structure C=CCSc1nc2ccccc2n1CC(=O)O?,How many carbon atoms make up the structure 2-(2-prop-2-enylsulfanylbenzimidazol-1-yl)acetic acid?,12
How many carbon atoms make up the structure Cc1ccc(CN2C[C@@]34C=C[C@@H](O3)C(C(=O)N3CCCOCC3)C4C2=O)cc1C?,"How many carbon atoms make up the structure (1S,7R)-3-[(3,4-dimethylphenyl)methyl]-6-(1,4-oxazepane-4-carbonyl)-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-en-4-one?",23
Count the number of carbon atoms in NC(=O)NC(CP(=O)(O)O)C(=O)O.,Count the number of carbon atoms in 2-(carbamoylamino)-3-phosphonopropanoic acid.,4
How many carbon atoms make up the structure COc1ccc(-n2c(=O)[nH]cc(C(=O)O)c2=O)cc1OC?,"How many carbon atoms make up the structure 3-(3,4-dimethoxyphenyl)-2,4-dioxo-1H-pyrimidine-5-carboxylic acid?",13
What is the total count of carbon atoms in CNCCC(=O)NCC1CCCOC1C(C)C.Cl?,What is the total count of carbon atoms in 3-(methylamino)-N-[(2-propan-2-yloxan-3-yl)methyl]propanamide;hydrochloride?,13
Identify the carbon atom count in the molecule C=CCn1c(SCC(=O)c2ccc(-c3ccccc3)cc2)nc2sc(C)c(-c3ccccc3)c2c1=O.,"Identify the carbon atom count in the molecule 6-methyl-2-[2-oxo-2-(4-phenylphenyl)ethyl]sulfanyl-5-phenyl-3-prop-2-enylthieno[2,3-d]pyrimidin-4-one.",30
What is the total count of carbon atoms in COc1ccc([C@H]2Cn3ccnc3CN2Cc2ccsc2)cc1?,"What is the total count of carbon atoms in (6S)-6-(4-methoxyphenyl)-7-(thiophen-3-ylmethyl)-6,8-dihydro-5H-imidazo[1,2-a]pyrazine?",18
What is the total count of carbon atoms in Cc1cc(=O)c(C(=O)N(Cc2cccs2)c2ccc(F)cc2)nn1-c1cccc(C(F)(F)F)c1?,What is the total count of carbon atoms in N-(4-fluorophenyl)-6-methyl-4-oxo-N-(thiophen-2-ylmethyl)-1-[3-(trifluoromethyl)phenyl]pyridazine-3-carboxamide?,24
What is the total count of carbon atoms in COC(C)C1CCC1?,What is the total count of carbon atoms in 1-methoxyethylcyclobutane?,7
How many carbon atoms make up the structure CCCCCC(NCCC)C(OCC)C(C)(C)C?,"How many carbon atoms make up the structure 3-ethoxy-2,2-dimethyl-N-propylnonan-4-amine?",16
How many carbons are present in the molecule CC1CCCCC1NC(=O)c1coc(C(N)Cc2c[nH]c3ccccc23)n1?,"How many carbons are present in the molecule 2-[1-amino-2-(1H-indol-3-yl)ethyl]-N-(2-methylcyclohexyl)-1,3-oxazole-4-carboxamide?",21
"Given O=C(C[C@@H](NCc1ccco1)C(=O)O)Nc1ccc(OC(F)F)cc1, return the number of carbon atoms.","Given (2R)-4-[4-(difluoromethoxy)anilino]-2-(furan-2-ylmethylamino)-4-oxobutanoic acid, return the number of carbon atoms.",16
"For the molecule CSc1ccc([C@@H]2Oc3ccccc3C3=C2[C@H](c2cccs2)N2NC=NC2=N3)cc1, how many carbon atoms does it contain?","For the molecule (9S,11R)-9-(4-methylsulfanylphenyl)-11-thiophen-2-yl-8-oxa-12,13,15,17-tetrazatetracyclo[8.7.0.02,7.012,16]heptadeca-1(10),2,4,6,13,15-hexaene, how many carbon atoms does it contain?",23
How many carbons are present in the molecule CCCn1c(=O)n(CCC(=O)N2CCNCC2c2cccnc2)c2ccccc21?,How many carbons are present in the molecule 1-[3-oxo-3-(2-pyridin-3-ylpiperazin-1-yl)propyl]-3-propylbenzimidazol-2-one?,22
Count the number of carbon atoms in CCCC(CC)CO.,Count the number of carbon atoms in 2-ethylpentan-1-ol.,7
How many carbon atoms make up the structure CC1(C)CCCOCC1?,"How many carbon atoms make up the structure 4,4-dimethyloxepane?",8
"For the molecule COc1ccc(NC(=O)C[C@@H]2C(=O)N(C3CC3)C(=S)N2CCc2ccc(Cl)cc2Cl)cc1, how many carbon atoms does it contain?","For the molecule 2-[(4R)-1-cyclopropyl-3-[2-(2,4-dichlorophenyl)ethyl]-5-oxo-2-sulfanylideneimidazolidin-4-yl]-N-(4-methoxyphenyl)acetamide, how many carbon atoms does it contain?",23
Determine the total carbon count for O=C(CSc1ccc(-c2ccccc2)nn1)NCc1ccco1.,Determine the total carbon count for N-(furan-2-ylmethyl)-2-(6-phenylpyridazin-3-yl)sulfanylacetamide.,17
Count the number of carbon atoms in CSC1CCCC1NCC(O)c1ccc(Cl)cc1.,Count the number of carbon atoms in 1-(4-chlorophenyl)-2-[(2-methylsulfanylcyclopentyl)amino]ethanol.,14
Identify the carbon atom count in the molecule CCOC[C@H]1CCN(C(=O)c2scnc2C(F)(F)F)C1.,"Identify the carbon atom count in the molecule [(3S)-3-(ethoxymethyl)pyrrolidin-1-yl]-[4-(trifluoromethyl)-1,3-thiazol-5-yl]methanone.",12
Compute the total number of carbons in Cc1cccc(NC(=S)NCCc2ccc(S(N)(=O)=O)cc2)c1C.,"Compute the total number of carbons in 1-(2,3-dimethylphenyl)-3-[2-(4-sulfamoylphenyl)ethyl]thiourea.",17
Report the number of carbon atoms in C[C@@H]1C[C@@H](C)CN(CCCNC(=O)[C@H]2CCCN(S(C)(=O)=O)C2)C1.,"Report the number of carbon atoms in (3S)-N-[3-[(3R,5R)-3,5-dimethylpiperidin-1-yl]propyl]-1-methylsulfonylpiperidine-3-carboxamide.",17
Report the number of carbon atoms in COc1cc2nc(NS(=O)(=O)c3c(Cl)cccc3Cl)nn2c(OC)n1.,"Report the number of carbon atoms in 2,6-dichloro-N-(5,7-dimethoxy-[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)benzenesulfonamide.",13
Report the number of carbon atoms in CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12.,"Report the number of carbon atoms in 5-butyl-8-phenyl-1H-[1,2,4]triazolo[5,1-f]purine.",16
Determine the total carbon count for CN(C)[C@H](CNC(=O)c1cccs1)c1csc2ccccc12.,Determine the total carbon count for N-[(2S)-2-(1-benzothiophen-3-yl)-2-(dimethylamino)ethyl]thiophene-2-carboxamide.,17
What is the total count of carbon atoms in COc1ccccc1NC(=O)C[C@@H](C)NC[C@@]1(C)CCCS1?,What is the total count of carbon atoms in (3R)-N-(2-methoxyphenyl)-3-[[(2R)-2-methylthiolan-2-yl]methylamino]butanamide?,17
Compute the total number of carbons in O=C(NCCc1ncc[nH]1)c1ccc(-n2cncn2)nc1.,"Compute the total number of carbons in N-[2-(1H-imidazol-2-yl)ethyl]-6-(1,2,4-triazol-1-yl)pyridine-3-carboxamide.",13
How many carbon atoms make up the structure CC(C)Nc1nc2cnccc2nc1N1CCC(Oc2ccc(F)cc2F)CC1?,"How many carbon atoms make up the structure 2-[4-(2,4-difluorophenoxy)piperidin-1-yl]-N-propan-2-ylpyrido[3,4-b]pyrazin-3-amine?",21
Count the number of carbon atoms in CCN(CC)C(=O)[C@@H](C)[C@H]1CC[C@@]2(C)Cc3sc(N)nc3[C@@H](C)[C@@H]2[C@H]1O.,"Count the number of carbon atoms in (2S)-2-[(4S,4aS,5S,6R,8aS)-2-amino-5-hydroxy-4,8a-dimethyl-4a,5,6,7,8,9-hexahydro-4H-benzo[f][1,3]benzothiazol-6-yl]-N,N-diethylpropanamide.",20
"For the molecule Clc1cc2c(-c3ccccc3)c3c(c(-c4ccccc4)c2cc1Br)-c1cccc2c(-c4ccc5c6c(cccc46)-c4ccccc4-5)ccc-3c12, how many carbon atoms does it contain?","For the molecule 9-bromo-10-chloro-3-fluoranthen-3-yl-7,12-diphenylbenzo[k]fluoranthene, how many carbon atoms does it contain?",48
"Given CCn1cnnc1CNC(=O)C(c1ccccc1)N1CCSCC1, return the number of carbon atoms.","Given N-[(4-ethyl-1,2,4-triazol-3-yl)methyl]-2-phenyl-2-thiomorpholin-4-ylacetamide, return the number of carbon atoms.",17
Compute the total number of carbons in O=C(C=Cc1ccc(Cl)c(Cl)c1)NCCCCCN1CCC(c2cn[nH]c2-c2ccccc2)CC1.,"Compute the total number of carbons in 3-(3,4-dichlorophenyl)-N-[5-[4-(5-phenyl-1H-pyrazol-4-yl)piperidin-1-yl]pentyl]prop-2-enamide.",28
Report the number of carbon atoms in CCCC[C@@H](C=O)NC(=O)OC(CCC)CCC.,Report the number of carbon atoms in heptan-4-yl N-[(2S)-1-oxohexan-2-yl]carbamate.,14
How many carbons are present in the molecule CCn1nc(C)cc1C(=O)N1CCC(Oc2cccc(C(=O)N3CCOCC3)c2)CC1?,How many carbons are present in the molecule [3-[1-(2-ethyl-5-methylpyrazole-3-carbonyl)piperidin-4-yl]oxyphenyl]-morpholin-4-ylmethanone?,23
"For the molecule O=C1N(Cc2cccc3nonc23)CCCC12CCN(c1cnc3ccccc3n1)CC2, how many carbon atoms does it contain?","For the molecule 2-(2,1,3-benzoxadiazol-4-ylmethyl)-9-quinoxalin-2-yl-2,9-diazaspiro[5.5]undecan-1-one, how many carbon atoms does it contain?",24
What is the total count of carbon atoms in O=C1CCNC(c2ccccc2F)CN1?,"What is the total count of carbon atoms in 2-(2-fluorophenyl)-1,4-diazepan-5-one?",11
What is the total count of carbon atoms in C[C@@H]1CNC(=O)[C@@H](C)N1?,"What is the total count of carbon atoms in (3R,5R)-3,5-dimethylpiperazin-2-one?",6
Count the number of carbon atoms in CCOC(=O)C(F)N1C(=O)CCC1=O.,"Count the number of carbon atoms in ethyl 2-(2,5-dioxopyrrolidin-1-yl)-2-fluoroacetate.",8
What is the total count of carbon atoms in O=c1nc(O)cc[nH]1?,"What is the total count of carbon atoms in 1H-pyrimidine-2,4-dione?",4
Report the number of carbon atoms in OC(C=Cc1ccc(Cl)c(Cl)c1)=NCCCCCN1CCC(CCCN=C(O)C2CC2c2ccccc2)CC1.,"Report the number of carbon atoms in N-[3-[1-[5-[3-(3,4-dichlorophenyl)prop-2-enoylamino]pentyl]piperidin-4-yl]propyl]-2-phenylcyclopropane-1-carboxamide.",32
How many carbons are present in the molecule CC1=NN(C(=Nc2ccc(C)cc2)Nc2nnc(C)s2)C(c2ccc(C)cc2)S1?,"How many carbons are present in the molecule 5-methyl-N,2-bis(4-methylphenyl)-N'-(5-methyl-1,3,4-thiadiazol-2-yl)-2H-1,3,4-thiadiazole-3-carboximidamide?",21
Determine the total carbon count for CCOC(=O)[C@@H](Cc1cc(I)c(O)c(I)c1)NC(=O)c1ccccc1.,"Determine the total carbon count for ethyl (2R)-2-benzamido-3-(4-hydroxy-3,5-diiodophenyl)propanoate.",18
Compute the total number of carbons in COC1CC(CC(=O)O)CC(C[C@@H](C)CCCc2ccccc2)C1.,Compute the total number of carbons in 2-[3-methoxy-5-[(2S)-2-methyl-5-phenylpentyl]cyclohexyl]acetic acid.,21
Determine the total carbon count for Nc1c[n-]c2ncc(Cl)c(F)c12.,"Determine the total carbon count for 5-chloro-4-fluoropyrrolo[2,3-b]pyridin-1-id-3-amine.",7
