rep_1,rep_2,name_equivalence_q,name_equivalence_a,chemical_similarity_q,chemical_similarity_a,property_comparison_q,property_comparison_a
iupac,iupac,"Verify whether ethyl (3S)-1-[[2-(dimethylamino)-1,3-thiazol-5-yl]methyl]-3-[(2-fluorophenyl)methyl]piperidine-3-carboxylate and ethyl (3S)-1-[[2-(dimethylamino)-1,3-thiazol-5-yl]methyl]-3-[(2-fluorophenyl)methyl]piperidine-3-carboxylate correspond to an identical molecule.",1,Identify which molecule is more similar to CCOC(=O)[C@]1(Cc2ccccc2F)CCCN(Cc2cnc(N(C)C)s2)C1: CC1CN(CCCSc2ccc(Cl)cc2)CC(C)O1 or O=C1NC(=O)C(O)CO1.,A,"Which molecule demonstrates a lower value for molecular weight, CC1CN(CCCSc2ccc(Cl)cc2)CC(C)O1 or O=C1NC(=O)C(O)CO1?",B
smiles,smiles,"Do these two representations, CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCC/C=C\CCCCCC and P(OC[C@H](OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(O)(=O)OC[C@H](N)C(=O)O, describe the same molecule?",1,"Which molecule shares greater structural similarity with CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCC/C=C\CCCCCC, CNC(=O)C1C2CCN21 or Fc1ccccc1-c1nnc(-c2ccccc2)nn1.c1ccc(-c2nnc(-c3ccccc3)nn2)cc1?",A,"Given CNC(=O)C1C2CCN21 and Fc1ccccc1-c1nnc(-c2ccccc2)nn1.c1ccc(-c2nnc(-c3ccccc3)nn2)cc1, determine which has the lower molecular weight.",A
iupac,iupac,"Are 1-amino-3-ethoxy-2,2-dimethyl-N-[[6-(2-methylmorpholin-4-yl)-3-pyridinyl]methyl]cyclobutane-1-carboxamide;dihydrochloride and 1-amino-3-ethoxy-2,2-dimethyl-N-[[6-(2-methylmorpholin-4-yl)-3-pyridinyl]methyl]cyclobutane-1-carboxamide;dihydrochloride equivalent representations of the same molecule?",0,Determine whether CC1(C)CC1(C)C#N or N#CC12N=COC1C2O is more chemically similar to CCOC1CC(N)(C(=O)NCc2ccc(N3CCOC(C)C3)nc2)C1(C)C.Cl.Cl.,B,"Given CC1(C)CC1(C)C#N and N#CC12N=COC1C2O, determine which has the higher molecular weight.",B
iupac,smiles,Are (2R)-N-naphthalen-2-yl-2-quinazolin-4-ylsulfanylpropanamide and CC1CC(C(N)=O)c2ccccc2N1C(=O)C(=O)NCC(O)c1cccc(F)c1 equivalent representations of the same molecule?,0,"Which molecule shares greater structural similarity with C[C@@H](Sc1ncnc2ccccc12)C(=O)Nc1ccc2ccccc2c1, C[C@H](CO)N=c1[nH]c(-c2ccncc2)cc(=Nc2ccc(F)cc2F)[nH]1 or CC1SCC(c2noc(CON)n2)SC1C?",A,Assess the molecular weight of C[C@H](CO)N=c1[nH]c(-c2ccncc2)cc(=Nc2ccc(F)cc2F)[nH]1 and CC1SCC(c2noc(CON)n2)SC1C. Which one is higher?,A
iupac,iupac,"Given (3R,4R)-N-(4-fluorophenyl)-3-(hydroxymethyl)-N-methyl-4-phenylpiperidine-1-carboxamide and (3R,4R)-N-(4-fluorophenyl)-3-(hydroxymethyl)-N-methyl-4-phenylpiperidine-1-carboxamide, determine if they describe the same molecular structure.",1,Compare CCCOC(=O)Cn1c(=O)oc2cc(S(=O)(=O)Nc3ccc(F)cc3Cl)ccc21 and CN(C)CCCS[C@@H]1Cc2cc(Cl)ccc2Sc2ccccc21 to CN(C(=O)N1CC[C@@H](c2ccccc2)[C@@H](CO)C1)c1ccc(F)cc1. Which is more chemically similar?,B,"Between CCCOC(=O)Cn1c(=O)oc2cc(S(=O)(=O)Nc3ccc(F)cc3Cl)ccc21 and CN(C)CCCS[C@@H]1Cc2cc(Cl)ccc2Sc2ccccc21, which exhibits a higher molecular weight?",A
smiles,smiles,Determine whether COCC#CC(O)C=O and C(C(O)C#CCOC)=O refer to the same chemical compound.,1,Compare O=C1OC(CO)(COC(=O)C(c2ccccc2)c2ccccc2)CC1=Cc1ccc(F)cc1 and Cc1nn(C)c2nc(NC3CCCN(C(=O)c4ccccc4)C3)sc12 to COCC#CC(O)C=O. Which is more chemically similar?,A,Assess the molecular weight of O=C1OC(CO)(COC(=O)C(c2ccccc2)c2ccccc2)CC1=Cc1ccc(F)cc1 and Cc1nn(C)c2nc(NC3CCCN(C(=O)c4ccccc4)C3)sc12. Which one is lower?,B
iupac,iupac,"Do these two representations, 3-(4-fluorophenyl)-2-methyl-1-oxido-6,7,8,9-tetrahydro-5H-cyclohepta[b]pyrazin-4-ium 4-oxide and 3-(4-fluorophenyl)-2-methyl-1-oxido-6,7,8,9-tetrahydro-5H-cyclohepta[b]pyrazin-4-ium 4-oxide, describe the same molecule?",0,Determine whether COC(=O)c1ccc(Cl)c(NC(=O)CN(c2ccc(OC)cc2)S(=O)(=O)c2ccccc2)c1 or O=C(Nc1ccccc1C(=O)NCc1ccco1)c1ccc(Cn2ccnc2)cc1 is more chemically similar to Cc1c(-c2ccc(F)cc2)[n+]([O-])c2c([n+]1[O-])CCCCC2.,A,Assess the molecular weight of COC(=O)c1ccc(Cl)c(NC(=O)CN(c2ccc(OC)cc2)S(=O)(=O)c2ccccc2)c1 and O=C(Nc1ccccc1C(=O)NCc1ccco1)c1ccc(Cn2ccnc2)cc1. Which one is higher?,A
smiles,smiles,"Do these two representations, OCC1=CCCC2NC12 and CCC(O)C#CC=O, describe the same molecule?",0,Which compound more closely resembles OCC1=CCCC2NC12: C#CC1C(=O)CC1O or CC(C)(C)N(CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)OCc1ccccc1)C(=O)NCc1ccccc1?,A,"Between C#CC1C(=O)CC1O and CC(C)(C)N(CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)OCc1ccccc1)C(=O)NCc1ccccc1, which exhibits a higher molecular weight?",B
iupac,smiles,"Verify whether N-[[5-cyclopropyl-1-(3-methyl-1,1-dioxothiolan-3-yl)pyrazol-4-yl]methyl]ethanamine and C(NCC)c1c(C2CC2)n(nc1)C1(C)CS(=O)(=O)CC1 correspond to an identical molecule.",1,"Between N#CCC1(N)CC2NC21 and COc1nc(-c2ccc(CN3CC4COCC4C3)cc2)ccc1NC(=O)c1c(-c2ccccc2)noc1C, which is more similar in structure to CCNCc1cnn(C2(C)CCS(=O)(=O)C2)c1C1CC1?",B,"Given N#CCC1(N)CC2NC21 and COc1nc(-c2ccc(CN3CC4COCC4C3)cc2)ccc1NC(=O)c1c(-c2ccccc2)noc1C, determine which has the higher molecular weight.",B
smiles,smiles,Are the chemical entities represented by CCN(CC)CCNC(=O)/C(=C\c1ccc(OC)c(OC)c1)NC(=O)c1ccc(C)cc1 and Cc1nc([C@@H](C)N[C@H](c2cccc(C(F)(F)F)c2)C2CC2)no1 the same?,0,Which molecule is more chemically similar to CCN(CC)CCNC(=O)/C(=C\c1ccc(OC)c(OC)c1)NC(=O)c1ccc(C)cc1: C#CC#CC1(O)CCC1 or CCC1(CC)CCN(S(=O)(=O)c2ccsc2CCl)C1?,B,Which compound shows a lower molecular weight: C#CC#CC1(O)CCC1 or CCC1(CC)CCN(S(=O)(=O)c2ccsc2CCl)C1?,A
iupac,iupac,Do the two chemical representations methyl (2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-formamidohexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoyl]-methylamino]hexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoate and methyl (2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-[[(2S)-2-[[(2R)-2-formamidohexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoyl]-methylamino]hexanoyl]amino]hexanoyl]amino]hexanoyl]amino]hexanoate describe the same molecule?,0,Determine whether CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC or Cc1ccc(NC(=O)c2ccnc(Cl)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1 is more chemically similar to CCCC[C@H](NC(=O)[C@@H](CCCC)N(C)C(=O)[C@H](CCCC)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CCCC)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CCCC)NC(=O)[C@@H](CCCC)NC=O)C(=O)N[C@H](CCCC)C(=O)N[C@@H](CCCC)C(=O)OC.,A,Identify whether CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC or Cc1ccc(NC(=O)c2ccnc(Cl)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1 has the lower molecular weight.,A
iupac,smiles,"Assess whether tert-butyl 3-(benzylcarbamoyloxymethyl)-7-methoxy-5,5,8-trioxo-5lambda6-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate and C1(N2C(=O)C(C2S(=O)(CC=1COC(=O)NCc1ccccc1)=O)OC)C(=O)OC(C)(C)C denote the same chemical substance.",1,Which compound more closely resembles COC1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(=O)NCc3ccccc3)CS(=O)(=O)C12: COc1ccc(Nc2nc(Nc3ccc(C)cc3C)c3cnn(C)c3n2)cc1 or CCC(CCN)CCC(=O)NCCc1ccsc1?,B,Assess the molecular weight of COc1ccc(Nc2nc(Nc3ccc(C)cc3C)c3cnn(C)c3n2)cc1 and CCC(CCN)CCC(=O)NCCc1ccsc1. Which one is lower?,B
smiles,smiles,"Do these two representations, O=CC12OC=NC1C2O and C1(O)C2N=COC12C=O, describe the same molecule?",1,Compare O=C(NCc1ccccc1)c1ccc(Br)o1 and C#CC(C)C(C#N)NC to O=CC12OC=NC1C2O. Which is more chemically similar?,A,Compare O=C(NCc1ccccc1)c1ccc(Br)o1 and C#CC(C)C(C#N)NC in terms of molecular weight. Which is lower?,B
iupac,smiles,"Given 2-[4-[2-(2,3-difluorophenoxy)ethylamino]piperidin-1-yl]-1-(6-methoxyquinolin-4-yl)ethanol and c1c(C(O)CN2CCC(CC2)NCCOc2c(c(F)ccc2)F)c2cc(OC)ccc2nc1, determine if they describe the same molecular structure.",1,Which compound more closely resembles COc1ccc2nccc(C(O)CN3CCC(NCCOc4cccc(F)c4F)CC3)c2c1: CCOC(=O)c1c(NC(=O)COc2ccc3c(C)cc(=O)oc3c2)sc2c1CCC(C)C2 or CCCCN(CCCN)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)C[C@@H]1CCN1c2ccccc2CC1O?,A,Which compound shows a higher molecular weight: CCOC(=O)c1c(NC(=O)COc2ccc3c(C)cc(=O)oc3c2)sc2c1CCC(C)C2 or CCCCN(CCCN)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)C[C@@H]1CCN1c2ccccc2CC1O?,B
iupac,iupac,"Do (2S)-2-[[2-[N-(benzenesulfonyl)-2,4-dimethylanilino]acetyl]-[(3,4-dichlorophenyl)methyl]amino]-3-phenyl-N-propan-2-ylpropanamide and (2S)-2-[[2-[N-(benzenesulfonyl)-2,4-dimethylanilino]acetyl]-[(3,4-dichlorophenyl)methyl]amino]-3-phenyl-N-propan-2-ylpropanamide correspond to the same molecular structure?",1,Which compound more closely resembles Cc1ccc(N(CC(=O)N(Cc2ccc(Cl)c(Cl)c2)[C@@H](Cc2ccccc2)C(=O)NC(C)C)S(=O)(=O)c2ccccc2)c(C)c1: CCCCc1c(O)nc(N2CCN(Cc3ccccc3)CC2)nc1O or O=C(Cc1ccc2ccccc2c1)NNC(=O)c1cnc2ccccc2n1?,A,"Given CCCCc1c(O)nc(N2CCN(Cc3ccccc3)CC2)nc1O and O=C(Cc1ccc2ccccc2c1)NNC(=O)c1cnc2ccccc2n1, determine which has the higher molecular weight.",B
smiles,smiles,Are the chemical entities represented by CC1CC2CN=COC12 and C1OC2C(CC2CN=1)C the same?,1,Which compound more closely resembles CC1CC2CN=COC12: CCn1ccnc1C1CCN(C(=O)c2[nH]c3c(C)cc(C)cc3c2C)CC1 or CNCc1cn(C)c(C(C)(C)C)n1?,B,"For the property molecular weight, which molecule is higher: CCn1ccnc1C1CCN(C(=O)c2[nH]c3c(C)cc(C)cc3c2C)CC1 or CNCc1cn(C)c(C(C)(C)C)n1?",A
iupac,smiles,Do (1-ethoxy-2-methylcyclopropyl)methanol and Cn1ccnc1CN1CCc2nc(C(=O)N3CCCC3)sc2CC1 correspond to the same molecular structure?,0,Assess the chemical similarity of Cc1cccc(ON=Cc2ccc(NC(=O)NC(=O)c3c(F)cccc3F)cc2)c1 and N#CC1(O)CC1C=O to CCOC1(CO)CC1C. Which is more similar?,B,"Between Cc1cccc(ON=Cc2ccc(NC(=O)NC(=O)c3c(F)cccc3F)cc2)c1 and N#CC1(O)CC1C=O, which exhibits a higher molecular weight?",A
iupac,smiles,"Do N-[[(3S)-2,3-dihydro-1,4-benzodioxin-3-yl]methyl]-3-methyl-6-(4-methylphenyl)-[1,2]oxazolo[5,4-b]pyridine-4-carboxamide and n1c(cc(C(=O)NC[C@H]2COc3ccccc3O2)c2c1onc2C)-c1ccc(cc1)C correspond to the same molecular structure?",1,Identify which molecule is more similar to Cc1ccc(-c2cc(C(=O)NC[C@H]3COc4ccccc4O3)c3c(C)noc3n2)cc1: CCOc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3C)cc1 or C#CC12CN1C1(C)CC12.,A,Assess the molecular weight of CCOc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3C)cc1 and C#CC12CN1C1(C)CC12. Which one is lower?,B
smiles,smiles,Are the chemical entities represented by CCC1OC1COC=O and O1C(C1COC=O)CC the same?,1,"Which molecule shares greater structural similarity with CCC1OC1COC=O, NCCCP(=O)(O)CC(O)CNC(=O)c1ccccc1C(N)=O or Oc1ccc(Br)c2c1N[C@@H](c1ccc(Cl)cc1)[C@@H]1CC=C[C@H]21?",A,"For the property molecular weight, which molecule is lower: NCCCP(=O)(O)CC(O)CNC(=O)c1ccccc1C(N)=O or Oc1ccc(Br)c2c1N[C@@H](c1ccc(Cl)cc1)[C@@H]1CC=C[C@H]21?",A
iupac,smiles,"Do these two representations, (3R)-1-(2-fluorophenyl)-3-(4-methoxyanilino)pyrrolidine-2,5-dione and O=C1C[C@@H](Nc2ccc(OC)cc2)C(N1c1ccccc1F)=O, describe the same molecule?",1,"Given COc1ccc(N[C@@H]2CC(=O)N(c3ccccc3F)C2=O)cc1, select the molecule that is more chemically similar: O=C1CC(=O)C(O)C1 or CC1=NCC(=O)CO1.",A,"Between O=C1CC(=O)C(O)C1 and CC1=NCC(=O)CO1, which exhibits a higher molecular weight?",A
iupac,iupac,"Do 1-methyl-3,6-dihydro-2H-pyridine-6-carbaldehyde and 1-methyl-3,6-dihydro-2H-pyridine-6-carbaldehyde correspond to the same molecular structure?",0,Assess the chemical similarity of Fc1[nH]ncc1-c1cccnc1 and Cc1ccc(NC(=O)Nc2ccc(Oc3ccc(-c4nccs4)cc3)cc2)cc1 to CN1CCC=CC1C=O. Which is more similar?,B,Compare Fc1[nH]ncc1-c1cccnc1 and Cc1ccc(NC(=O)Nc2ccc(Oc3ccc(-c4nccs4)cc3)cc2)cc1 in terms of molecular weight. Which is higher?,B
iupac,iupac,Are N-ethyl-1-(3-methylimidazol-4-yl)undecan-1-amine and N-ethyl-1-(3-methylimidazol-4-yl)undecan-1-amine equivalent representations of the same molecule?,0,Identify which molecule is more similar to CCCCCCCCCCC(NCC)c1cncn1C: COC(CC(CN)Nc1cc(C)cc(Br)c1)OC or O=C(NCCCN1CCCC1=O)c1ccc2c(=O)n(-c3cccc(Cl)c3)cnc2c1.,B,"Which molecule demonstrates a lower value for molecular weight, COC(CC(CN)Nc1cc(C)cc(Br)c1)OC or O=C(NCCCN1CCCC1=O)c1ccc2c(=O)n(-c3cccc(Cl)c3)cnc2c1?",A
iupac,smiles,Do N-[5-(diaminomethylideneamino)-1-(1-methylbenzimidazol-2-yl)-1-oxopentan-2-yl]-1-[2-(methylamino)-3-phenylpropanoyl]pyrrolidine-2-carboxamide and C(C(NC)Cc1ccccc1)(=O)N1CCCC1C(NC(C(c1nc2c(n1C)cccc2)=O)CCCN=C(N)N)=O correspond to the same molecular structure?,1,Identify which molecule is more similar to CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2n1C: c1ccc2c(-c3c4ccccc4c(-c4cccc5ccccc45)c4ccccc34)cccc2c1 or CC1C2CC2(O)C12CO2.,A,"Between c1ccc2c(-c3c4ccccc4c(-c4cccc5ccccc45)c4ccccc34)cccc2c1 and CC1C2CC2(O)C12CO2, which exhibits a lower molecular weight?",B
smiles,smiles,Do the two chemical representations CC12OC=NC1C2CO and CC1C(O)C(C)C1(C)C describe the same molecule?,0,"Between CNC(C=O)(C=O)CO and O=C([O-])N[C@H]1C[C@@H]1OC1CCCCO1, which is more similar in structure to CC12OC=NC1C2CO?",A,Determine whether CNC(C=O)(C=O)CO or O=C([O-])N[C@H]1C[C@@H]1OC1CCCCO1 has the lower value of molecular weight.,A
smiles,smiles,"Do these two representations, CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC(=O)OC(COCCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O and C1(C(C(C(OC1CO)OCC1OC(C(C(C1O)O)O)OCC(COCCCCCCCCC)OC(C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)O)O)O, describe the same molecule?",1,Compare O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2cc(CO)ccc2c1 and COc1cc(C(=O)O)cc(I)c1OCc1ccccc1Cl to CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC(=O)OC(COCCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O. Which is more chemically similar?,B,Which compound shows a higher molecular weight: O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2cc(CO)ccc2c1 or COc1cc(C(=O)O)cc(I)c1OCc1ccccc1Cl?,A
iupac,smiles,Verify whether tert-butyl N-(4-ethenylnaphthalen-1-yl)carbamate and C=Cc1c2c(cccc2)c(NC(OC(C)(C)C)=O)cc1 correspond to an identical molecule.,1,"Between COC(=O)c1ccc(C(=O)N[C@H](C)c2cccs2)nc1 and CCC(O)COCCO, which is more similar in structure to C=Cc1ccc(NC(=O)OC(C)(C)C)c2ccccc12?",A,"Which molecule demonstrates a higher value for molecular weight, COC(=O)c1ccc(C(=O)N[C@H](C)c2cccs2)nc1 or CCC(O)COCCO?",A
smiles,smiles,Verify whether Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NC(=O)NCCN and C(N)CNC(=O)Nc1c(ccc(c1)C(=O)N1CCC(CC1)c1ccc(C#N)cc1)C correspond to an identical molecule.,1,"Which molecule shares greater structural similarity with Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NC(=O)NCCN, NC(=O)Nc1ccc2c(c1)Cc1c-2nc(O)c2nccn12 or COc1ccc(NC(=O)c2nnn(CC(=O)Nc3ccc(OC)c(Cl)c3)c2C)cc1?",B,"Which molecule demonstrates a lower value for molecular weight, NC(=O)Nc1ccc2c(c1)Cc1c-2nc(O)c2nccn12 or COc1ccc(NC(=O)c2nnn(CC(=O)Nc3ccc(OC)c(Cl)c3)c2C)cc1?",A
iupac,smiles,"Is the molecule described by N-(1H-benzimidazol-2-ylmethyl)-4-(1,3-benzodioxol-5-yl)-2-[2-[2-hydroxyethyl-(4-methoxyphenyl)sulfonylamino]ethoxy]-3,4-dihydro-2H-pyran-6-carboxamide identical to the one described by c1(ccc(cc1)S(=O)(N(CCO)CCOC1OC(C(NCc2[nH]c3ccccc3n2)=O)=CC(c2ccc3OCOc3c2)C1)=O)OC?",1,Determine whether O=C1c2ccccc2C2(c3cccc4c3C=CC4)SCCCN12 or COc1cc(C=C(C#N)C(=O)c2cn(C)c3ccccc23)cc(OC)c1OC is more chemically similar to COc1ccc(S(=O)(=O)N(CCO)CCOC2CC(c3ccc4c(c3)OCO4)C=C(C(=O)NCc3nc4ccccc4[nH]3)O2)cc1.,B,Compare O=C1c2ccccc2C2(c3cccc4c3C=CC4)SCCCN12 and COc1cc(C=C(C#N)C(=O)c2cn(C)c3ccccc23)cc(OC)c1OC in terms of molecular weight. Which is lower?,A
iupac,iupac,Is the molecule described by N-[(2-chlorophenyl)methylideneamino]-N-[2-[4-(2-methoxyphenyl)piperazin-1-yl]-2-oxoethyl]pyridine-4-carboxamide identical to the one described by N-[(2-chlorophenyl)methylideneamino]-N-[2-[4-(2-methoxyphenyl)piperazin-1-yl]-2-oxoethyl]pyridine-4-carboxamide?,1,Which compound more closely resembles COc1ccccc1N1CCN(C(=O)CN(N=Cc2ccccc2Cl)C(=O)c2ccncc2)CC1: COc1ccc(-c2cc(CNC(=O)Cc3ccccc3)no2)cc1 or c1n[nH]c2c1CCCC2?,A,"Which molecule has a lower molecular weight, COc1ccc(-c2cc(CNC(=O)Cc3ccccc3)no2)cc1 or c1n[nH]c2c1CCCC2?",B
iupac,smiles,"Assess whether N-[(1R,2S,6S,7R)-3,5-dioxo-4-azatricyclo[5.2.1.02,6]dec-8-en-4-yl]-2-nitro-N-[(4-nitrophenyl)methyl]benzamide and C=CCOc1ccc(/C=N/c2ccc(OC)cc2)cc1 denote the same chemical substance.",0,Determine whether CC1C2C3C2C2(C)C1N32 or CNC1CN(C=O)C1=N is more chemically similar to O=C(c1ccccc1[N+](=O)[O-])N(Cc1ccc([N+](=O)[O-])cc1)N1C(=O)[C@@H]2[C@@H](C1=O)[C@H]1C=C[C@H]2C1.,B,Compare CC1C2C3C2C2(C)C1N32 and CNC1CN(C=O)C1=N in terms of molecular weight. Which is lower?,A
smiles,smiles,Is the molecule described by N=C1OC2C3C(=O)N1C23 identical to the one described by Fc1c(CBr)ccc(Br)c1Cl?,0,"Between the two options, O=C(Nc1ccon1)c1csc2ccccc12 and O=CC1C(CO)N1C=O, which better matches N=C1OC2C3C(=O)N1C23 chemically?",B,"Which molecule demonstrates a higher value for molecular weight, O=C(Nc1ccon1)c1csc2ccccc12 or O=CC1C(CO)N1C=O?",A
smiles,smiles,Do the two chemical representations CNC1=CC(=O)CC1=O and O=C1CC(C(NC)=C1)=O describe the same molecule?,1,"Between the two options, COc1cccc(Br)c1C(O)CCCC(F)(F)F and O=C(c1cc(-n2ccc3c([N+](=O)[O-])cccc32)c(O)cc1O)N1Cc2ccccc2C1, which better matches CNC1=CC(=O)CC1=O chemically?",B,Identify whether COc1cccc(Br)c1C(O)CCCC(F)(F)F or O=C(c1cc(-n2ccc3c([N+](=O)[O-])cccc32)c(O)cc1O)N1Cc2ccccc2C1 has the lower molecular weight.,A
smiles,smiles,Determine whether Cc1ccc(F)cc1C(=O)N1C2CCC(C2)C1c1nc2cccc(OCc3ccc(F)cc3)c2[nH]1 and c12[nH]c(nc2cccc1OCc1ccc(cc1)F)C1C2CCC(C2)N1C(=O)c1c(ccc(F)c1)C refer to the same chemical compound.,1,"Given Cc1ccc(F)cc1C(=O)N1C2CCC(C2)C1c1nc2cccc(OCc3ccc(F)cc3)c2[nH]1, select the molecule that is more chemically similar: CC(C)(C)OC(=O)NC(CC=O)c1ccc(F)cc1 or O=C(OCC1CN(c2ccc(-n3cc(-c4ccccn4)cn3)c(F)c2)C(=O)O1)c1ccccc1.",B,"For the property molecular weight, which molecule is higher: CC(C)(C)OC(=O)NC(CC=O)c1ccc(F)cc1 or O=C(OCC1CN(c2ccc(-n3cc(-c4ccccn4)cn3)c(F)c2)C(=O)O1)c1ccccc1?",B
smiles,smiles,"Given CCN/C(=N\CCCOC1CCCCC1)NC1CC2CCC1O2 and C1CCCC(OCCC/N=C(\NCC)NC2CC3OC2CC3)C1, determine if they describe the same molecular structure.",1,Compare Cc1cc(CN(C)C(=O)c2cc(Cl)sc2Cl)no1 and COC1CC(O)C2NC12 to CCN/C(=N\CCCOC1CCCCC1)NC1CC2CCC1O2. Which is more chemically similar?,B,Identify whether Cc1cc(CN(C)C(=O)c2cc(Cl)sc2Cl)no1 or COC1CC(O)C2NC12 has the lower molecular weight.,B
iupac,smiles,"Given 4-[(4-fluorophenyl)methylamino]-3-pyridin-4-yl-1H-1,2,4-triazole-5-thione and c1(-c2ccncc2)n(NCc2ccc(cc2)F)c(=S)[nH]n1, determine if they describe the same molecular structure.",1,"Which molecule shares greater structural similarity with Fc1ccc(CNn2c(-c3ccncc3)n[nH]c2=S)cc1, O=S(=O)(OCCOS(=O)(=O)c1ccccc1)c1ccccc1 or Cc1c(Br)c(C(F)F)nn1CC(=O)N[C@@H](C)C(C)(C)C?",B,"Between O=S(=O)(OCCOS(=O)(=O)c1ccccc1)c1ccccc1 and Cc1c(Br)c(C(F)F)nn1CC(=O)N[C@@H](C)C(C)(C)C, which exhibits a lower molecular weight?",A
iupac,smiles,"Are N-benzyl-3-[2-(dimethylamino)ethyl]-5-[2-(2,5-dioxo-4,4-diphenylimidazolidin-1-yl)ethyl]-1H-indole-2-carboxamide and c1(ccccc1)C1(c2ccccc2)NC(=O)N(C1=O)CCc1cc2c([nH]c(c2CCN(C)C)C(NCc2ccccc2)=O)cc1 equivalent representations of the same molecule?",1,Assess the chemical similarity of CC1(C)OC2CC21O and C=CC1(OCCO)COC1 to CN(C)CCc1c(C(=O)NCc2ccccc2)[nH]c2ccc(CCN3C(=O)NC(c4ccccc4)(c4ccccc4)C3=O)cc12. Which is more similar?,A,Determine whether CC1(C)OC2CC21O or C=CC1(OCCO)COC1 has the lower value of molecular weight.,A
iupac,smiles,"Verify whether 2-[[5-(4-chlorophenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]-N-(4-iodophenyl)acetamide and c1(nnc(-c2ccc(Cl)cc2)o1)SCC(Nc1ccc(I)cc1)=O correspond to an identical molecule.",1,Identify which molecule is more similar to O=C(CSc1nnc(-c2ccc(Cl)cc2)o1)Nc1ccc(I)cc1: CCOCCCN(C(=O)C1CC1)[C@@H](C)C(=O)c1c(C)[nH]c(C(=O)OC)c1C or CN1CCCC1C1CNC(=O)O1.,A,Compare CCOCCCN(C(=O)C1CC1)[C@@H](C)C(=O)c1c(C)[nH]c(C(=O)OC)c1C and CN1CCCC1C1CNC(=O)O1 in terms of molecular weight. Which is higher?,A
iupac,smiles,Do 3-[[2-(benzimidazol-1-yl)-6-(3-piperazin-1-ylpropylamino)pyrimidin-4-yl]amino]-4-methylphenol and C(CCN1CCNCC1)Nc1nc(nc(Nc2c(ccc(c2)O)C)c1)-n1c2c(cccc2)nc1 correspond to the same molecular structure?,1,Determine whether COc1ccccc1C(=O)NCCC(=O)NCC(c1ccco1)N1CCCC1 or C#CCCOC(C)=N is more chemically similar to Cc1ccc(O)cc1Nc1cc(NCCCN2CCNCC2)nc(-n2cnc3ccccc32)n1.,A,Assess the molecular weight of COc1ccccc1C(=O)NCCC(=O)NCC(c1ccco1)N1CCCC1 and C#CCCOC(C)=N. Which one is lower?,B
